cons_precinct_id	cons_precinct_name	is_vbm	no_voters	precinct_ids
1101	Precinct 1101	N	N	1101
1102	Precinct 1102	N	N	1102
1103	Precinct 1103	N	N	1103
1104	Precinct 1104/1105	N	N	1104 1105
1106	Precinct 1106	N	N	1106
1107	Precinct 1107	N	N	1107
1108	Precinct 1108	N	N	1108
1109	Precinct 1109	N	N	1109
1111	Precinct 1111	N	N	1111
1112	Precinct 1112	N	N	1112
1113	Precinct 1113	N	N	1113
1114	Precinct 1114	N	N	1114
1115	Precinct 1115	N	N	1115
1116	Precinct 1116	N	N	1116
1117	Precinct 1117	N	N	1117
1118	Precinct 1118	N	N	1118
1119	Precinct 1119	N	N	1119
1121	Precinct 1121	N	N	1121
1122	Precinct 1122	N	N	1122
1123	Precinct 1123	N	N	1123
1124	Precinct 1124	N	N	1124
1125	Precinct 1125	N	N	1125
1126	Precinct 1126	N	N	1126
1127	Precinct 1127	N	N	1127
1128	Precinct 1128	N	N	1128
1129	Precinct 1129	N	N	1129
1131	Precinct 1131	N	N	1131
1132	Precinct 1132	N	N	1132
1133	Precinct 1133	N	N	1133
1134	Precinct 1134	N	N	1134
1135	Precinct 1135	N	N	1135
1136	Precinct 1136	N	N	1136
1141	Precinct 1141	N	N	1141
1142	Precinct 1142	N	N	1142
1143	Precinct 1143	N	N	1143
1144	Precinct 1144	N	N	1144
1145	Precinct 1145	N	N	1145
1146	Precinct 1146	N	N	1146
1147	Precinct 1147	N	N	1147
1148	Precinct 1148	N	N	1148
1149	Precinct 1149	N	N	1149
1151	Precinct 1151 MB	Y	Y	1151
1152	Precinct 1152	N	N	1152
1153	Precinct 1153	N	N	1153
1154	Precinct 1154 MB	Y	Y	1154
7001	Precinct 7001	N	N	7001
7002	Precinct 7002	N	N	7002
7003	Precinct 7003	N	N	7003
7004	Precinct 7004	N	N	7004
7005	Precinct 7005	N	N	7005
7006	Precinct 7006	N	N	7006
7007	Precinct 7007	N	N	7007
7008	Precinct 7008	N	N	7008
7009	Precinct 7009	N	N	7009
7011	Precinct 7011	N	N	7011
7012	Precinct 7012	N	N	7012
7013	Precinct 7013	N	N	7013
7014	Precinct 7014	N	N	7014
7015	Precinct 7015 MB	Y	N	7015
7016	Precinct 7016	N	N	7016
7017	Precinct 7017	N	N	7017
7018	Precinct 7018	N	N	7018
7019	Precinct 7019	N	N	7019
7021	Precinct 7021	N	N	7021
7022	Precinct 7022	N	N	7022
7023	Precinct 7023	N	N	7023
7024	Precinct 7024	N	N	7024
7025	Precinct 7025	N	N	7025
7026	Precinct 7026	N	N	7026
7027	Precinct 7027	N	N	7027
7028	Precinct 7028	N	N	7028
7029	Precinct 7029	N	N	7029
7030	Precinct 7030	N	N	7030
7031	Precinct 7031	N	N	7031
7032	Precinct 7032	N	N	7032
7033	Precinct 7033	N	N	7033
7034	Precinct 7034	N	N	7034
7035	Precinct 7035	N	N	7035
7036	Precinct 7036	N	N	7036
7037	Precinct 7037	N	N	7037
7038	Precinct 7038	N	N	7038
7039	Precinct 7039	N	N	7039
7041	Precinct 7041 MB	Y	N	7041
7042	Precinct 7042	N	N	7042
7043	Precinct 7043	N	N	7043
7044	Precinct 7044	N	N	7044
7045	Precinct 7045	N	N	7045
7046	Precinct 7046	N	N	7046
7047	Precinct 7047	N	N	7047
7048	Precinct 7048	N	N	7048
7049	Precinct 7049	N	N	7049
7051	Precinct 7051	N	N	7051
7052	Precinct 7052	N	N	7052
7053	Precinct 7053	N	N	7053
7054	Precinct 7054	N	N	7054
7055	Precinct 7055	N	N	7055
7056	Precinct 7056	N	N	7056
7101	Precinct 7101 MB	Y	N	7101
7201	Precinct 7201	N	N	7201
7202	Precinct 7202	N	N	7202
7203	Precinct 7203	N	N	7203
7204	Precinct 7204	N	N	7204
7205	Precinct 7205	N	N	7205
7206	Precinct 7206	N	N	7206
7207	Precinct 7207	N	N	7207
7208	Precinct 7208	N	N	7208
7209	Precinct 7209	N	N	7209
7301	Precinct 7301	N	N	7301
7302	Precinct 7302	N	N	7302
7303	Precinct 7303	N	N	7303
7304	Precinct 7304	N	N	7304
7305	Precinct 7305	N	N	7305
7306	Precinct 7306	N	N	7306
7307	Precinct 7307	N	N	7307
7308	Precinct 7308	N	N	7308
7309	Precinct 7309	N	N	7309
7311	Precinct 7311	N	N	7311
7312	Precinct 7312	N	N	7312
7313	Precinct 7313	N	N	7313
7314	Precinct 7314	N	N	7314
7315	Precinct 7315	N	N	7315
7316	Precinct 7316	N	N	7316
7317	Precinct 7317	N	N	7317
7318	Precinct 7318	N	N	7318
7319	Precinct 7319	N	N	7319
7321	Precinct 7321	N	N	7321
7322	Precinct 7322	N	N	7322
7323	Precinct 7323	N	N	7323
7324	Precinct 7324	N	N	7324
7325	Precinct 7325	N	N	7325
7326	Precinct 7326	N	N	7326
7327	Precinct 7327	N	N	7327
7328	Precinct 7328	N	N	7328
7329	Precinct 7329	N	N	7329
7331	Precinct 7331	N	N	7331
7332	Precinct 7332	N	N	7332
7333	Precinct 7333	N	N	7333
7334	Precinct 7334	N	N	7334
7335	Precinct 7335	N	N	7335
7336	Precinct 7336	N	N	7336
7337	Precinct 7337	N	N	7337
7338	Precinct 7338	N	N	7338
7339	Precinct 7339	N	N	7339
7341	Precinct 7341	N	N	7341
7342	Precinct 7342	N	N	7342
7343	Precinct 7343	N	N	7343
7344	Precinct 7344	N	N	7344
7345	Precinct 7345	N	N	7345
7346	Precinct 7346	N	N	7346
7347	Precinct 7347	N	N	7347
7348	Precinct 7348	N	N	7348
7349	Precinct 7349	N	N	7349
7501	Precinct 7501	N	N	7501
7502	Precinct 7502	N	N	7502
7503	Precinct 7503	N	N	7503
7504	Precinct 7504	N	N	7504
7505	Precinct 7505	N	N	7505
7506	Precinct 7506	N	N	7506
7507	Precinct 7507	N	N	7507
7508	Precinct 7508	N	N	7508
7509	Precinct 7509/7511	N	N	7509 7511
7512	Precinct 7512	N	N	7512
7513	Precinct 7513	N	N	7513
7514	Precinct 7514	N	N	7514
7515	Precinct 7515	N	N	7515
7516	Precinct 7516	N	N	7516
7517	Precinct 7517	N	N	7517
7518	Precinct 7518	N	N	7518
7519	Precinct 7519	N	N	7519
7521	Precinct 7521	N	N	7521
7522	Precinct 7522	N	N	7522
7523	Precinct 7523	N	N	7523
7524	Precinct 7524	N	N	7524
7525	Precinct 7525	N	N	7525
7526	Precinct 7526	N	N	7526
7527	Precinct 7527/7528	N	N	7527 7528
7529	Precinct 7529	N	N	7529
7531	Precinct 7531	N	N	7531
7532	Precinct 7532	N	N	7532
7533	Precinct 7533	N	N	7533
7534	Precinct 7534	N	N	7534
7535	Precinct 7535	N	N	7535
7536	Precinct 7536	N	N	7536
7537	Precinct 7537	N	N	7537
7538	Precinct 7538	N	N	7538
7539	Precinct 7539	N	N	7539
7541	Precinct 7541	N	N	7541
7542	Precinct 7542	N	N	7542
7543	Precinct 7543	N	N	7543
7544	Precinct 7544	N	N	7544
7545	Precinct 7545	N	N	7545
7546	Precinct 7546	N	N	7546
7547	Precinct 7547	N	N	7547
7548	Precinct 7548	N	N	7548
7549	Precinct 7549	N	N	7549
7551	Precinct 7551	N	N	7551
7552	Precinct 7552	N	N	7552
7553	Precinct 7553 MB	Y	N	7553
7554	Precinct 7554	N	N	7554
7555	Precinct 7555	N	N	7555
7556	Precinct 7556/7557	N	N	7556 7557
7601	Precinct 7601	N	N	7601
7602	Precinct 7602	N	N	7602
7603	Precinct 7603	N	N	7603
7604	Precinct 7604	N	N	7604
7605	Precinct 7605	N	N	7605
7606	Precinct 7606	N	N	7606
7607	Precinct 7607	N	N	7607
7608	Precinct 7608	N	N	7608
7609	Precinct 7609	N	N	7609
7611	Precinct 7611	N	N	7611
7612	Precinct 7612	N	N	7612
7613	Precinct 7613	N	N	7613
7614	Precinct 7614	N	N	7614
7615	Precinct 7615	N	N	7615
7616	Precinct 7616	N	N	7616
7617	Precinct 7617	N	N	7617
7618	Precinct 7618	N	N	7618
7619	Precinct 7619	N	N	7619
7621	Precinct 7621	N	N	7621
7622	Precinct 7622	N	N	7622
7623	Precinct 7623	N	N	7623
7624	Precinct 7624	N	N	7624
7625	Precinct 7625	N	N	7625
7626	Precinct 7626	N	N	7626
7627	Precinct 7627	N	N	7627
7628	Precinct 7628	N	N	7628
7629	Precinct 7629	N	N	7629
7631	Precinct 7631	N	N	7631
7632	Precinct 7632	N	N	7632
7633	Precinct 7633	N	N	7633
7634	Precinct 7634	N	N	7634
7635	Precinct 7635	N	N	7635
7636	Precinct 7636	N	N	7636
7637	Precinct 7637	N	N	7637
7638	Precinct 7638	N	N	7638
7639	Precinct 7639	N	N	7639
7641	Precinct 7641	N	N	7641
7642	Precinct 7642	N	N	7642
7643	Precinct 7643	N	N	7643
7644	Precinct 7644	N	N	7644
7645	Precinct 7645	N	N	7645
7646	Precinct 7646	N	N	7646
7647	Precinct 7647	N	N	7647
7648	Precinct 7648 MB	Y	N	7648
7649	Precinct 7649	N	N	7649
7651	Precinct 7651	N	N	7651
7652	Precinct 7652	N	N	7652
7653	Precinct 7653	N	N	7653
7654	Precinct 7654	N	N	7654
7655	Precinct 7655	N	N	7655
7656	Precinct 7656	N	N	7656
7657	Precinct 7657	N	N	7657
7701	Precinct 7701	N	N	7701
7702	Precinct 7702	N	N	7702
7703	Precinct 7703 MB	Y	N	7703
7704	Precinct 7704	N	N	7704
7705	Precinct 7705	N	N	7705
7706	Precinct 7706	N	N	7706
7707	Precinct 7707	N	N	7707
7708	Precinct 7708	N	N	7708
7709	Precinct 7709	N	N	7709
7711	Precinct 7711	N	N	7711
