precinct_ids|area_ids
7101|CONG12 ASSM17 SUPV1 NEIG6
7015 7016 7017 7018 7019 7021 7022 7023 7024 7025 7026 7027 7028 7029 7030 7031 7032 7033 7034 7035 7043 7044 7052 7053 7054|CONG12 ASSM17 SUPV10 NEIG1
7001|CONG12 ASSM17 SUPV10 NEIG12
7002 7003 7004 7005 7006 7007 7008 7009 7011 7012 7013 7014 7055 7056|CONG12 ASSM17 SUPV10 NEIG16
7036 7037 7038 7039 7045 7046 7047 7048 7049 7051|CONG12 ASSM17 SUPV10 NEIG23
7041 7042|CONG12 ASSM17 SUPV10 NEIG26
1151|CONG12 ASSM17 SUPV11 NEIG23
1141 1142 1143 1144 1145 1146 1147 1148 1149 1152 1153 1154|CONG12 ASSM17 SUPV11 NEIG5
7201 7202 7203 7204 7205 7206 7207 7208 7209|CONG12 ASSM17 SUPV2 NEIG11
7301 7302 7303 7304 7305 7307 7308 7317|CONG12 ASSM17 SUPV3 NEIG15
7306 7309 7311 7312 7313 7314 7315 7316 7318 7319 7321 7322 7323 7324 7325 7326 7327 7333 7335 7337|CONG12 ASSM17 SUPV3 NEIG2
7328 7329 7331 7332 7334 7336 7338 7339 7341 7342 7343 7344 7345 7346 7347 7348 7349|CONG12 ASSM17 SUPV3 NEIG3
7501 7502 7503 7509|CONG12 ASSM17 SUPV5 NEIG11
7504 7505 7506 7507 7508 7512 7513 7514 7515 7516 7522 7523 7524 7525 7526 7529 7531 7532 7538 7539 7541 7542 7543 7544 7545|CONG12 ASSM17 SUPV5 NEIG25
7517 7518 7519 7521 7527 7533 7534 7535 7536 7537 7546 7547 7548 7551 7552 7555 7556|CONG12 ASSM17 SUPV5 NEIG6
7549 7553 7554|CONG12 ASSM17 SUPV5 NEIG8
7618|CONG12 ASSM17 SUPV6 NEIG12
7643 7644 7646 7653 7657|CONG12 ASSM17 SUPV6 NEIG16
7619 7621 7622 7623 7624 7625 7626 7627 7628 7629 7631 7632 7633 7634 7635 7636 7637 7638 7639 7641 7642 7645 7647 7648 7649 7651 7652 7655 7656|CONG12 ASSM17 SUPV6 NEIG20
7601 7602 7603 7604 7605 7606 7607 7608 7609 7611 7612 7613 7614 7615 7616 7617 7654|CONG12 ASSM17 SUPV6 NEIG3
7701 7702 7703 7704 7705 7706 7707 7708 7709 7711|CONG12 ASSM17 SUPV7 NEIG24
7712|CONG12 ASSM17 SUPV7 NEIG4
7811 7812 7814 7819 7826 7827 7833 7834 7842 7843 7844 7858|CONG12 ASSM17 SUPV8 NEIG12
7835 7836 7837 7838 7841 7845 7846 7847 7848 7849 7854 7855 7856 7857 7861 7862 7863 7864 7865|CONG12 ASSM17 SUPV8 NEIG13
