area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
ALLPCTS	503899	101053	402846	281975	84731	197244
PCT1101	562	114	448	275	61	214
PCT1102	1004	230	774	536	162	374
PCT1103	971	222	749	516	145	371
PCT1104	1018	267	751	466	123	343
PCT1106	771	173	598	353	97	256
PCT1107	751	139	612	365	76	289
PCT1108	923	198	725	478	116	362
PCT1109	822	169	653	382	100	282
PCT1111	1046	197	849	475	118	357
PCT1112	802	159	643	360	79	281
PCT1113	795	120	675	353	65	288
PCT1114	991	222	769	426	99	327
PCT1115	936	193	743	386	89	297
PCT1116	931	216	715	428	120	308
PCT1117	846	181	665	333	73	260
PCT1118	1065	219	846	466	108	358
PCT1119	797	138	659	378	75	303
PCT1121	705	149	556	354	86	268
PCT1122	637	118	519	315	71	244
PCT1123	938	208	730	345	89	256
PCT1124	829	199	630	321	75	246
PCT1125	1097	178	919	434	67	367
PCT1126	1012	200	812	377	68	309
PCT1127	965	222	743	394	102	292
PCT1128	879	145	734	347	58	289
PCT1129	1036	246	790	424	109	315
PCT1131	860	166	694	342	61	281
PCT1132	1032	193	839	436	63	373
PCT1133	875	159	716	406	73	333
PCT1134	767	182	585	374	80	294
PCT1135	556	91	465	270	51	219
PCT1136	867	157	710	423	81	342
PCT1141	1056	220	836	517	125	392
PCT1142	896	175	721	410	86	324
PCT1143	1049	225	824	477	116	361
PCT1144	947	220	727	442	121	321
PCT1145	905	152	753	526	114	412
PCT1146	1054	215	839	475	110	365
PCT1147	885	212	673	417	108	309
PCT1148	1028	224	804	488	119	369
PCT1149	939	229	710	439	119	320
PCT1152	890	180	710	401	87	314
PCT1153	940	210	730	401	117	284
PCT7001	773	141	632	434	105	329
PCT7002	714	116	598	357	90	267
PCT7003	906	147	759	578	144	434
PCT7004	913	149	764	562	146	416
PCT7005	859	161	698	513	163	350
PCT7006	932	203	729	513	153	360
PCT7007	957	180	777	615	174	441
PCT7008	909	177	732	561	194	367
PCT7009	871	119	752	485	95	390
PCT7011	973	269	704	319	88	231
PCT7012	1226	227	999	698	210	488
PCT7013	1139	155	984	586	157	429
PCT7014	719	109	610	416	115	301
PCT7015	110	-18	128	41	0	41
PCT7016	932	277	655	316	79	237
PCT7017	781	238	543	234	54	180
PCT7018	1047	200	847	414	56	358
PCT7019	900	166	734	430	74	356
PCT7021	967	288	679	379	108	271
PCT7022	963	193	770	368	55	313
PCT7023	920	233	687	403	72	331
PCT7024	441	190	251	70	20	50
PCT7025	483	167	316	136	40	96
PCT7026	1010	191	819	409	72	337
PCT7027	896	219	677	369	99	270
PCT7028	856	271	585	320	100	220
PCT7029	909	267	642	250	42	208
PCT7030	795	141	654	332	59	273
