Page: 1 of 25||||||||2020-03-03 23:26:13

||City and County of San Francisco␤March 3, 2020, Presidential Primary Election␤Preliminary Statement of the Vote - 4

Precinct|Registered␤Voters||Cards Cast||Voters Cast|% Turnout
Countywide
Electionwide
Pct 1101
Vote by Mail|562||167||89|0.158362989323843
Election Day|562||119||60|0.106761565836299
Total|562||286||149|0.265124555160142
Pct 1102
Vote by Mail|1004||218||120|0.119521912350598
Election Day|1004||315||158|0.157370517928287
Total|1004||533||278|0.276892430278884
Pct 1103
Vote by Mail|971||286||147|0.151390319258496
Election Day|971||281||143|0.147270854788877
Total|971||567||290|0.298661174047374
Pct 1104/1105
Vote by Mail|1018||234||125|0.12278978388998
Election Day|1018||238||120|0.117878192534381
Total|1018||472||245|0.240667976424362
Pct 1106
Vote by Mail|771||168||93|0.120622568093385
Election Day|771||191||96|0.124513618677043
Total|771||359||189|0.245136186770428
Pct 1107
Vote by Mail|751||184||101|0.134487350199734
Election Day|751||149||76|0.101198402130493
Total|751||333||177|0.235685752330226
Pct 1108
Vote by Mail|923||217||119|0.128927410617551
Election Day|923||221||114|0.123510292524377
Total|923||438||233|0.252437703141928
Pct 1109
Vote by Mail|822||199||108|0.131386861313869
Election Day|822||194||98|0.119221411192214
Total|822||393||206|0.250608272506083
Pct 1111
Vote by Mail|1046||268||152|0.145315487571702
Election Day|1046||235||118|0.112810707456979
Total|1046||503||270|0.258126195028681
Pct 1112
Vote by Mail|802||177||100|0.124688279301746
Election Day|802||150||76|0.0947630922693267
Total|802||327||176|0.219451371571072
Pct 1113
Vote by Mail|795||174||102|0.128301886792453
Election Day|795||129||65|0.0817610062893082
Total|795||303||167|0.210062893081761
Pct 1114
Vote by Mail|991||176||102|0.1029263370333
Election Day|991||192||98|0.0988900100908174
Total|991||368||200|0.201816347124117
Pct 1115
Vote by Mail|936||200||116|0.123931623931624
Election Day|936||168||85|0.0908119658119658
Total|936||368||201|0.21474358974359
Pct 1116
Vote by Mail|931||258||141|0.151450053705693
Election Day|931||236||119|0.12781954887218
Total|931||494||260|0.279269602577873
Pct 1117
Vote by Mail|846||184||102|0.120567375886525
Election Day|846||141||72|0.0851063829787234
Total|846||325||174|0.205673758865248
Pct 1118
Vote by Mail|1065||213||124|0.116431924882629
Election Day|1065||200||102|0.0957746478873239
Total|1065||413||226|0.212206572769953
Pct 1119
Vote by Mail|797||203||113|0.141781681304893
Election Day|797||145||73|0.0915934755332497
Total|797||348||186|0.233375156838143
Pct 1121
Vote by Mail|705||206||115|0.163120567375887
Election Day|705||158||80|0.113475177304965
Total|705||364||195|0.276595744680851
Pct 1122
Vote by Mail|637||117||66|0.103610675039246
Election Day|637||137||70|0.10989010989011
Total|637||254||136|0.213500784929356
Pct 1123
Vote by Mail|938||135||77|0.082089552238806
Election Day|938||176||89|0.0948827292110874
Total|938||311||166|0.176972281449893
Pct 1124
Vote by Mail|829||169||96|0.115802171290712
Election Day|829||139||71|0.0856453558504222
Total|829||308||167|0.201447527141134
Pct 1125
Vote by Mail|1097||278||155|0.141294439380128
Election Day|1097||129||64|0.0583409298085688
Total|1097||407||219|0.199635369188696
Pct 1126
Vote by Mail|1012||263||150|0.148221343873518
Election Day|1012||134||68|0.0671936758893281
Total|1012||397||218|0.215415019762846
Pct 1127
Vote by Mail|965||220||123|0.127461139896373
Election Day|965||192||100|0.103626943005181
Total|965||412||223|0.231088082901554
Pct 1128
Vote by Mail|879||202||111|0.126279863481229
Election Day|879||114||58|0.0659840728100114
Total|879||316||169|0.19226393629124
Pct 1129
Vote by Mail|1036||235||129|0.124517374517375
Election Day|1036||212||108|0.104247104247104
Total|1036||447||237|0.228764478764479
Pct 1131
Vote by Mail|860||186||103|0.119767441860465
Election Day|860||118||60|0.0697674418604651
Total|860||304||163|0.18953488372093
Pct 1132
Vote by Mail|1032||269||153|0.148255813953488
Election Day|1032||119||62|0.060077519379845
Total|1032||388||215|0.208333333333333
Pct 1133
Vote by Mail|875||263||140|0.16
Election Day|875||147||73|0.0834285714285714
Total|875||410||213|0.243428571428571
Pct 1134
Vote by Mail|767||220||123|0.160365058670143
Election Day|767||159||80|0.104302477183833
Total|767||379||203|0.264667535853977
Pct 1135
Vote by Mail|556||158||83|0.149280575539568
Election Day|556||98||50|0.0899280575539568
Total|556||256||133|0.239208633093525
Pct 1136
Vote by Mail|867||270||151|0.174163783160323
Election Day|867||151||79|0.091118800461361
Total|867||421||230|0.265282583621684
Pct 1141
Vote by Mail|1056||257||144|0.136363636363636
Election Day|1056||243||124|0.117424242424242
Total|1056||500||268|0.253787878787879
Pct 1142
Vote by Mail|896||205||110|0.122767857142857
Election Day|896||171||86|0.0959821428571429
Total|896||376||196|0.21875
Pct 1143
Vote by Mail|1049||266||152|0.144899904671115
Election Day|1049||226||113|0.107721639656816
Total|1049||492||265|0.252621544327931
Pct 1144
Vote by Mail|947||209||109|0.115100316789863
Election Day|947||240||121|0.127771911298838
Total|947||449||230|0.242872228088701
Pct 1145
Vote by Mail|905||274||146|0.161325966850829
Election Day|905||228||114|0.125966850828729
Total|905||502||260|0.287292817679558
Pct 1146
Vote by Mail|1054||264||144|0.136622390891841
Election Day|1054||214||109|0.103415559772296
Total|1054||478||253|0.240037950664137
Pct 1147
Vote by Mail|885||184||100|0.112994350282486
Election Day|885||214||107|0.12090395480226
Total|885||398||207|0.233898305084746
Pct 1148
Vote by Mail|1028||264||149|0.144941634241245
Election Day|1028||225||116|0.11284046692607
Total|1028||489||265|0.257782101167315
Pct 1149
Vote by Mail|939||200||106|0.112886048988285
Election Day|939||230||118|0.12566560170394
Total|939||430||224|0.238551650692226
Pct 1151 MB
Vote by Mail|0||0||0|N/A
Election Day|0||0||0|N/A
Total|0||0||0|N/A
Pct 1152
Vote by Mail|890||199||112|0.125842696629213
Election Day|890||165||85|0.0955056179775281
Total|890||364||197|0.221348314606742
Pct 1153
Vote by Mail|940||201||112|0.119148936170213
Election Day|940||229||116|0.123404255319149
Total|940||430||228|0.242553191489362
Pct 1154 MB
Vote by Mail|0||0||0|N/A
Election Day|0||0||0|N/A
Total|0||0||0|N/A
Pct 7001
Vote by Mail|773||215||111|0.14359637774903
Election Day|773||202||101|0.130659767141009
