Date	Permanent Mail Issued	Military and Overseas Issued	Single Application Issued	Voting Center Issued	American Independent Issued	Democratic Issued	Green Issued	Libertarian Issued	No Party Preference Issued	No Party Preference (AI) Issued	No Party Preference (DEM) Issued	No Party Preference (LIB) Issued	Peace & Freedom Issued	Republican Issued	Permanent Mail Returned	Military and Overseas Returned	Single Application Returned	Voting Center Returned	American Independent Returned	Democratic Returned	Green Returned	Libertarian Returned	No Party Preference Returned	No Party Preference (AI) Returned	No Party Preference (DEM) Returned	No Party Preference (LIB) Returned	Peace & Freedom Returned	Republican Returned	Permanent Mail Challenged	Military and Overseas Challenged	Single Application Challenged	Voting Center Challenged	American Independent Challenged	Democratic Challenged	Green Challenged	Libertarian Challenged	No Party Preference Challenged	No Party Preference (AI) Challenged	No Party Preference (DEM) Challenged	No Party Preference (LIB) Challenged	Peace & Freedom Challenged	Republican Challenged	
"2020-01-03"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-04"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-05"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-06"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-07"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-08"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-09"	"0"	"2284"	"98"	"0"	"9"	"1458"	"29"	"6"	"641"	"2"	"95"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-10"	"0"	"2281"	"98"	"0"	"9"	"1458"	"29"	"6"	"638"	"2"	"95"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-11"	"0"	"2281"	"98"	"0"	"9"	"1458"	"29"	"6"	"638"	"2"	"95"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"2020-01-12"	"0"	"2281"	"98"	"0"	"9"	"1458"	"29"	"6"	"638"	"2"	"95"	"1"	"6"	"135"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
