District_Code	Classification	District_Name	District_Short_Name
ca	State	State of California	California
ca/alm	County	Alameda County	Alameda
ca/alp	County	Alpine County	Alpine
ca/am	County	Amador County	Amador
ca/bt	County	Butte County	Butte
ca/clv	County	Calaveras County	Calaveras
ca/cls	County	Colusa County	Colusa
ca/cc	County	Contra Costa County	Contra Costa
ca/dn	County	Del Norte County	Del Norte
ca/ed	County	El Dorado County	El Dorado
ca/fr	County	Fresno County	Fresno
ca/gl	County	Glenn County	Glenn
ca/hm	County	Humboldt County	Humboldt
ca/im	County	Imperial County	Imperial
ca/in	County	Inyo County	Inyo
ca/kr	County	Kern County	Kern
ca/kn	County	Kings County	Kings
ca/lk	County	Lake County	Lake
ca/ls	County	Lassen County	Lassen
ca/la	County	Los Angeles County	Los Angeles
ca/mdr	County	Madera County	Madera
ca/mrn	County	Marin County	Marin
ca/mrp	County	Mariposa County	Mariposa
ca/mnd	County	Mendocino County	Mendocino
ca/mrc	County	Merced County	Merced
ca/mdc	County	Modoc County	Modoc
ca/mon	County	Mono County	Mono
ca/mnt	County	Monterey County	Monterey
ca/np	County	Napa County	Napa
ca/nv	County	Nevada County	Nevada
ca/or	County	Orange County	Orange
ca/plc	County	Placer County	Placer
ca/plm	County	Plumas County	Plumas
ca/rv	County	Riverside County	Riverside
ca/sac	County	Sacramento County	Sacramento
ca/sbn	County	San Benito County	San Benito
ca/sbo	County	San Bernardino County	San Bernardino
ca/sd	County	San Diego County	San Diego
ca/sf	County	San Francisco County	San Francisco
ca/sj	County	San Joaquin County	San Joaquin
ca/slo	County	San Luis Obispo County	San Luis Obispo
ca/sm	County	San Mateo County	San Mateo
ca/sba	County	Santa Barbara County	Santa Barbara
ca/scl	County	Santa Clara County	Santa Clara
ca/scz	County	Santa Cruz County	Santa Cruz
ca/sh	County	Shasta County	Shasta
ca/sr	County	Sierra County	Sierra
ca/ss	County	Siskiyou County	Siskiyou
ca/sln	County	Solano County	Solano
ca/sn	County	Sonoma County	Sonoma
ca/stn	County	Stanislaus County	Stanislaus
ca/str	County	Sutter County	Sutter
ca/th	County	Tehama County	Tehama
ca/tr	County	Trinity County	Trinity
ca/tlr	County	Tulare County	Tulare
ca/tlm	County	Tuolumne County	Tuolumne
ca/vn	County	Ventura County	Ventura
ca/yl	County	Yolo County	Yolo
ca/yb	County	Yuba County	Yuba
caasm01	Assembly District	California State Assembly District  1	Assembly District  1
caasm02	Assembly District	California State Assembly District  2	Assembly District  2
caasm03	Assembly District	California State Assembly District  3	Assembly District  3
caasm04	Assembly District	California State Assembly District  4	Assembly District  4
caasm05	Assembly District	California State Assembly District  5	Assembly District  5
caasm06	Assembly District	California State Assembly District  6	Assembly District  6
caasm07	Assembly District	California State Assembly District  7	Assembly District  7
caasm08	Assembly District	California State Assembly District  8	Assembly District  8
caasm09	Assembly District	California State Assembly District  9	Assembly District  9
caasm10	Assembly District	California State Assembly District 10	Assembly District 10
caasm11	Assembly District	California State Assembly District 11	Assembly District 11
caasm12	Assembly District	California State Assembly District 12	Assembly District 12
caasm13	Assembly District	California State Assembly District 13	Assembly District 13
caasm14	Assembly District	California State Assembly District 14	Assembly District 14
caasm15	Assembly District	California State Assembly District 15	Assembly District 15
caasm16	Assembly District	California State Assembly District 16	Assembly District 16
caasm17	Assembly District	California State Assembly District 17	Assembly District 17
caasm18	Assembly District	California State Assembly District 18	Assembly District 18
caasm19	Assembly District	California State Assembly District 19	Assembly District 19
caasm20	Assembly District	California State Assembly District 20	Assembly District 20
caasm21	Assembly District	California State Assembly District 21	Assembly District 21
caasm22	Assembly District	California State Assembly District 22	Assembly District 22
caasm23	Assembly District	California State Assembly District 23	Assembly District 23
caasm24	Assembly District	California State Assembly District 24	Assembly District 24
caasm25	Assembly District	California State Assembly District 25	Assembly District 25
caasm26	Assembly District	California State Assembly District 26	Assembly District 26
caasm27	Assembly District	California State Assembly District 27	Assembly District 27
caasm28	Assembly District	California State Assembly District 28	Assembly District 28
caasm29	Assembly District	California State Assembly District 29	Assembly District 29
caasm30	Assembly District	California State Assembly District 30	Assembly District 30
caasm31	Assembly District	California State Assembly District 31	Assembly District 31
caasm32	Assembly District	California State Assembly District 32	Assembly District 32
caasm33	Assembly District	California State Assembly District 33	Assembly District 33
caasm34	Assembly District	California State Assembly District 34	Assembly District 34
caasm35	Assembly District	California State Assembly District 35	Assembly District 35
caasm36	Assembly District	California State Assembly District 36	Assembly District 36
caasm37	Assembly District	California State Assembly District 37	Assembly District 37
caasm38	Assembly District	California State Assembly District 38	Assembly District 38
caasm39	Assembly District	California State Assembly District 39	Assembly District 39
caasm40	Assembly District	California State Assembly District 40	Assembly District 40
caasm41	Assembly District	California State Assembly District 41	Assembly District 41
caasm42	Assembly District	California State Assembly District 42	Assembly District 42
caasm43	Assembly District	California State Assembly District 43	Assembly District 43
