||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
State Assembly 1
|Butte|10054|2917|4092|505|80|128|57|49|98|2128
|Lassen|14028|2606|7427|781|45|169|56|14|66|2864
|Modoc|4984|1060|2667|250|15|54|19|7|17|895
|Nevada|68151|26151|22696|2587|664|907|193|44|6867|8042
|Placer|37421|11731|14727|1363|222|603|114|196|201|8264
|Plumas|12688|3628|5614|626|51|153|41|7|19|2549
|Shasta|103883|24135|50398|4441|354|1269|379|106|284|22517
|Sierra|2123|614|890|134|17|31|3|2|29|403
|Siskiyou|27662|8328|10987|1350|166|359|138|153|76|6105
District Total||280994|81170|119498|12037|1614|3673|1000|578|7657|53767
|Percent||0.28886738419532776|0.42526885867118835|0.04283721372485161|0.005743894726037979|0.01307145319879055|0.0035587947349995375|0.002056983532384038|0.027249692007899284|0.1913457214832306

State Assembly 2
|Del Norte|15182|4563|5802|713|101|185|90|11|67|3650
|Humboldt|79198|36241|18742|2602|1402|900|381|439|407|18084
|Mendocino|52602|25330|10644|1902|929|587|281|430|124|12375
|Sonoma|117808|63730|22557|3140|984|1105|319|682|525|24766
|Trinity|7897|2499|2679|397|84|108|53|122|87|1868
District Total||272687|132363|60424|8754|3500|2885|1124|1684|1210|60743
|Percent||0.4854026734828949|0.2215873897075653|0.03210274130105972|0.012835228815674782|0.010579895228147507|0.004121941979974508|0.006175578571856022|0.004437321797013283|0.2227572202682495

State Assembly 3
|Butte|106128|38531|36687|4012|626|1305|403|458|919|23187
|Colusa|4679|1293|2171|154|8|47|16|0|2|988
|Glenn|13454|3804|5930|520|39|163|47|11|33|2907
|Sutter|48423|14802|19540|1762|99|475|193|325|1740|9487
|Tehama|35087|8695|15895|1768|79|429|140|25|105|7951
|Yuba|36707|10220|13938|1856|150|478|242|363|167|9293
District Total||244478|77345|94161|10072|1001|2897|1041|1182|2966|53813
|Percent||0.3163679242134094|0.385151207447052|0.04119798168540001|0.004094438161700964|0.011849736794829369|0.004258051980286837|0.004834790714085102|0.012131971307098866|0.2201138734817505

State Assembly 4
|Colusa|4414|1559|1493|133|8|49|21|0|1|1150
|Lake|33905|13016|9659|1511|293|391|187|26|54|8768
|Napa|80667|38428|17494|2697|486|779|275|512|271|19725
|Solano|18646|6467|6900|660|49|209|43|83|107|4128
|Sonoma|38047|20185|6940|1132|255|368|120|264|201|8582
|Yolo|88697|45269|16924|2406|552|838|285|406|279|21738
District Total||264376|124924|59410|8539|1643|2634|931|1291|913|64091
|Percent||0.4725239872932434|0.22471782565116882|0.03229869529604912|0.006214633584022522|0.0099630830809474|0.003521499689668417|0.004883196670562029|0.003453414887189865|0.2424236685037613

State Assembly 5
|Alpine|788|336|197|40|8|11|1|0|2|193
|Amador|23717|6780|10894|1055|98|347|65|30|55|4393
|Calaveras|29889|8237|13167|1433|170|477|100|160|253|5892
|El Dorado|78299|24134|30821|3587|520|1225|279|4|516|17213
|Madera|61851|20056|24159|2156|175|566|325|428|321|13665
|Mariposa|10916|3101|4931|464|59|125|33|34|109|2060
|Mono|7095|2627|2178|263|50|79|29|3|7|1859
|Placer|14651|4544|5933|537|71|256|44|61|86|3119
|Tuolumne|32562|9634|14053|1411|145|425|113|8|51|6722
District Total||259768|79449|106333|10946|1296|3511|989|728|1400|55116
|Percent||0.3058459758758545|0.4093383252620697|0.04213760048151016|0.00498906709253788|0.013515906408429146|0.003807243425399065|0.002802500734105706|0.005389424506574869|0.2121739387512207

State Assembly 6
|El Dorado|46680|13336|20410|1774|111|755|62|1|284|9947
|Placer|195860|57726|82720|6751|548|3416|402|966|809|42522
|Sacramento|88247|28609|33935|3375|298|1253|206|421|252|19898
District Total||330787|99671|137065|11900|957|5424|670|1388|1345|72367
|Percent||0.30131474137306213|0.41436028480529785|0.035974811762571335|0.002893100492656231|0.016397258266806602|0.0020254726987332106|0.004196053836494684|0.00406606076285243|0.21877220273017883

State Assembly 7
|Sacramento|230632|115515|43341|7501|1160|2429|1725|1585|686|56690
|Yolo|28681|12615|6271|1115|114|246|204|173|123|7820
District Total||259313|128130|49612|8616|1274|2675|1929|1758|809|64510
|Percent||0.4941132962703705|0.19132091104984283|0.03322625532746315|0.004912981763482094|0.010315719060599804|0.007438886445015669|0.006779451854526997|0.003119781846180558|0.2487727254629135

State Assembly 8
|Sacramento|273244|109972|83677|10198|1147|3430|1587|1542|913|60778
District Total||273244|109972|83677|10198|1147|3430|1587|1542|913|60778
|Percent||0.40246811509132385|0.3062354624271393|0.03732195496559143|0.004197713453322649|0.012552883476018906|0.005807995796203613|0.005643307697027922|0.0033413360361009836|0.2224312275648117

State Assembly 9
|Sacramento|224353|109001|48455|6879|722|1673|1530|1575|606|53912
|San Joaquin|35611|11126|15298|1248|101|412|130|264|106|6926
District Total||259964|120127|63753|8127|823|2085|1660|1839|712|60838
|Percent||0.4620909094810486|0.245237797498703|0.03126202151179314|0.0031658229418098927|0.008020341396331787|0.006385499611496925|0.007074056193232536|0.002738840878009796|0.23402471840381622

State Assembly 10
|Marin|166260|97221|22970|4157|1137|1212|319|481|553|38210
|Sonoma|123483|68746|20589|3391|1074|1141|381|767|573|26821
District Total||289743|165967|43559|7548|2211|2353|700|1248|1126|65031
|Percent||0.5728076100349426|0.15033668279647827|0.026050671935081482|0.007630900479853153|0.008120990358293056|0.0024159341119229794|0.004307265393435955|0.003886202583089471|0.2244437336921692

State Assembly 11
|Contra Costa|138763|66917|30962|4955|396|1123|581|783|324|32722
|Sacramento|2180|787|781|102|7|26|12|17|6|442
|Solano|134632|58889|34204|4672|407|1288|516|636|799|33221
District Total||275575|126593|65947|9729|810|2437|1109|1436|1129|66385
|Percent||0.4593776762485504|0.23930689692497253|0.03530436381697655|0.002939308760687709|0.00884332787245512|0.00402431283146143|0.0052109225653111935|0.004096888471394777|0.2408963143825531

State Assembly 12
|San Joaquin|85323|29225|32623|3004|224|827|301|710|260|18149
|Stanislaus|167788|58157|65156|5821|412|1555|592|942|1439|33714
District Total||253111|87382|97779|8825|636|2382|893|1652|1699|51863
|Percent||0.34523192048072815|0.3863087594509125|0.034866124391555786|0.0025127315893769264|0.009410890750586987|0.003528096480295062|0.006526780780404806|0.006712470203638077|0.20490220189094543

State Assembly 13
|San Joaquin|205536|100633|46519|5983|548|1528|1160|2298|734|46133
District Total||205536|100633|46519|5983|548|1528|1160|2298|734|46133
|Percent||0.48961251974105835|0.22633017599582672|0.029109256342053413|0.002666199579834938|0.007434220984578133|0.005643780343234539|0.011180522851645947|0.003571150591596961|0.2244521677494049

State Assembly 14
|Contra Costa|193640|98180|37611|6101|913|1755|736|888|502|46954
|Solano|85989|47891|12509|2353|379|580|414|481|533|20849
District Total||279629|146071|50120|8454|1292|2335|1150|1369|1035|67803
|Percent||0.5223742723464966|0.1792374849319458|0.03023291565477848|0.004620407707989216|0.008350349962711334|0.004112591966986656|0.004895772784948349|0.003701332723721862|0.24247485399246216

State Assembly 15
|Alameda|173455|122748|6975|2313|1943|804|447|1|976|37248
|Contra Costa|133625|85771|10467|2682|837|666|702|754|295|31451
District Total||307080|208519|17442|4995|2780|1470|1149|755|1271|68699
|Percent||0.6790380477905273|0.05679953098297119|0.016266118735074997|0.009053015150129795|0.004787025973200798|0.003741696011275053|0.002458642702549696|0.0041389865800738335|0.22371694445610046

State Assembly 16
|Alameda|133502|55975|33043|4159|359|1169|264|11|802|37720
|Contra Costa|191245|85707|48216|5381|531|1502|195|667|463|48583
District Total||324747|141682|81259|9540|890|2671|459|678|1265|86303
|Percent||0.43628424406051636|0.25022247433662415|0.029376715421676636|0.0027405950240790844|0.00822486449033022|0.0014134079683572054|0.0020877791102975607|0.003895340021699667|0.2657545804977417

State Assembly 17
|San Francisco|293158|184573|14806|4725|1981|1827|1057|2445|550|81194
District Total||293158|184573|14806|4725|1981|1827|1057|2445|550|81194
|Percent||0.6296024918556213|0.05050518736243248|0.016117587685585022|0.006757448427379131|0.006232134066522121|0.0036055641248822212|0.008340212516486645|0.001876121386885643|0.2769632637500763

State Assembly 18
|Alameda|286142|183420|17714|5509|2131|1382|1396|14|2043|72533
District Total||286142|183420|17714|5509|2131|1382|1396|14|2043|72533
|Percent||0.6410104036331177|0.061906326562166214|0.019252678379416466|0.007447351235896349|0.00482976995408535|0.004878696519881487|4.8926754971034825e-05|0.007139811757951975|0.2534860372543335

State Assembly 19
|San Francisco|212088|120736|18271|3961|1161|1298|488|1599|260|64314
|San Mateo|65338|36222|6867|1244|222|302|289|396|284|19512
District Total||277426|156958|25138|5205|1383|1600|777|1995|544|83826
|Percent||0.5657652616500854|0.0906115472316742|0.018761759623885155|0.00498511316254735|0.005767303518950939|0.0028007468208670616|0.007191106677055359|0.0019608831498771906|0.3021562397480011

State Assembly 20
|Alameda|249332|134750|32175|5474|1015|1551|1038|13|1589|71727
District Total||249332|134750|32175|5474|1015|1551|1038|13|1589|71727
|Percent||0.5404440760612488|0.1290448009967804|0.02195466309785843|0.004070877563208342|0.006220621522516012|0.004163123667240143|5.213931581238285e-05|0.006373028736561537|0.2876766622066498

State Assembly 21
|Merced|104706|45090|29361|3658|310|874|501|143|199|24570
|Stanislaus|93538|41221|27386|2948|251|757|548|610|758|19059
District Total||198244|86311|56747|6606|561|1631|1049|753|957|43629
|Percent||0.4353776276111603|0.28624826669692993|0.03332257270812988|0.0028298459947109222|0.008227234706282616|0.005291459150612354|0.003798349527642131|0.0048273843713104725|0.2200772762298584

State Assembly 22
|San Mateo|279577|147874|43040|6625|1120|1894|682|1323|1196|75823
District Total||279577|147874|43040|6625|1120|1894|682|1323|1196|75823
|Percent||0.5289204716682434|0.1539468616247177|0.02369651384651661|0.004006051924079657|0.00677452003583312|0.0024393994826823473|0.004732148721814156|0.0042778910137712955|0.2712061405181885

State Assembly 23
|Fresno|283163|97010|108719|9676|876|2491|976|1021|2502|59892
|Tulare|3549|1025|1670|124|15|30|10|25|10|640
District Total||286712|98035|110389|9800|891|2521|986|1046|2512|60532
|Percent||0.34192848205566406|0.3850170075893402|0.034180641174316406|0.0031076481100171804|0.008792795240879059|0.003438991028815508|0.003648260375484824|0.008761405013501644|0.2111247479915619

State Assembly 24
|San Mateo|72384|38895|11169|1612|384|595|243|358|287|18841
|Santa Clara|183469|94017|25483|3028|637|1255|334|21|286|58408
District Total||255853|132912|36652|4640|1021|1850|577|379|573|77249
|Percent||0.5194857716560364|0.1432541310787201|0.01813541352748871|0.00399057287722826|0.007230714429169893|0.0022552013397216797|0.0014813193120062351|0.0022395672276616096|0.30192726850509644

State Assembly 25
|Alameda|77744|37372|10417|1560|235|399|209|8|415|27129
|Santa Clara|154028|72224|23912|3357|478|1055|576|40|349|52037
District Total||231772|109596|34329|4917|713|1454|785|48|764|79166
|Percent||0.47286126017570496|0.1481153964996338|0.021214814856648445|0.0030762990936636925|0.006273406557738781|0.0033869491890072823|0.00020710007811430842|0.0032963429111987352|0.3415684401988983

State Assembly 26
|Inyo|10029|3299|4072|385|35|90|33|31|57|2027
|Kern|8914|2063|4284|547|37|107|54|71|19|1732
|Tulare|179537|58205|68591|6293|468|1664|804|1659|642|41211
District Total||198480|63567|76947|7225|540|1861|891|1761|718|44970
|Percent||0.32026904821395874|0.38768136501312256|0.0364016517996788|0.002720677061006427|0.00937625952064991|0.004489117302000523|0.00887243077158928|0.0036174929700791836|0.2265719473361969

State Assembly 27
|Santa Clara|219977|111016|31161|4901|851|1517|1319|36|964|68212
District Total||219977|111016|31161|4901|851|1517|1319|36|964|68212
|Percent||0.5046709179878235|0.14165571331977844|0.02227960154414177|0.0038685861509293318|0.006896175444126129|0.0059960815124213696|0.00016365347255486995|0.004382276441901922|0.3100869655609131

State Assembly 28
|Santa Clara|273081|127209|51530|6411|938|2243|660|48|595|83447
District Total||273081|127209|51530|6411|938|2243|660|48|595|83447
|Percent||0.4658288061618805|0.18869858980178833|0.023476550355553627|0.003434878308326006|0.008213680237531662|0.002416865434497595|0.0001757720165187493|0.0021788408048450947|0.30557599663734436

State Assembly 29
|Monterey|101075|48494|22985|3153|583|905|320|719|80|23836
|Santa Clara|56871|26206|11676|1613|219|529|191|13|156|16268
|Santa Cruz|136785|78209|19676|3391|1259|1389|404|187|683|31587
District Total||294731|152909|54337|8157|2061|2823|915|919|919|71691
