||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
US Congressional 1
|Butte|116182|41448|40779|4517|706|1433|460|507|1017|25315
|Glenn|1177|248|697|38|3|11|2|0|3|175
|Lassen|14028|2606|7427|781|45|169|56|14|66|2864
|Modoc|4984|1060|2667|250|15|54|19|7|17|895
|Nevada|58172|21415|20787|2223|570|790|169|33|5621|6564
|Placer|30489|8278|13893|1107|138|523|73|146|154|6177
|Plumas|12688|3628|5614|626|51|153|41|7|19|2549
|Shasta|103883|24135|50398|4441|354|1269|379|106|284|22517
|Sierra|2123|614|890|134|17|31|3|2|29|403
|Siskiyou|27662|8328|10987|1350|166|359|138|153|76|6105
|Tehama|35087|8695|15895|1768|79|429|140|25|105|7951
District Total||406475|120455|170034|17235|2144|5221|1480|1000|7391|81515
|Percent||0.2963404953479767|0.41831356287002563|0.04240113124251366|0.005274617113173008|0.012844578363001347|0.003641060320660472|0.0024601758923381567|0.018183160573244095|0.20054124295711517

US Congressional 2
|Del Norte|15182|4563|5802|713|101|185|90|11|67|3650
|Humboldt|79198|36241|18742|2602|1402|900|381|439|407|18084
|Marin|166260|97221|22970|4157|1137|1212|319|481|553|38210
|Mendocino|52602|25330|10644|1902|929|587|281|430|124|12375
|Sonoma|117312|64846|21281|3109|1115|1067|314|620|509|24451
|Trinity|7897|2499|2679|397|84|108|53|122|87|1868
District Total||438451|230700|82118|12880|4768|4059|1438|2103|1747|98638
|Percent||0.526170551776886|0.18729117512702942|0.02937614545226097|0.01087464764714241|0.00925759132951498|0.0032797278836369514|0.0047964309342205524|0.0039844815619289875|0.2249692678451538

US Congressional 3
|Colusa|9093|2852|3664|287|16|96|37|0|3|2138
|Glenn|12277|3556|5233|482|36|152|45|11|30|2732
|Lake|15876|6155|4060|746|156|164|123|13|28|4431
|Sacramento|18253|5807|6804|804|64|236|116|132|56|4234
|Solano|153288|65361|41108|5332|456|1497|559|719|906|37350
|Sutter|48423|14802|19540|1762|99|475|193|325|1740|9487
|Yolo|88697|45269|16924|2406|552|838|285|406|279|21738
|Yuba|36707|10220|13938|1856|150|478|242|363|167|9293
District Total||382614|154022|111271|13675|1529|3936|1600|1969|3209|91403
|Percent||0.40255191922187805|0.29081788659095764|0.03574098274111748|0.003996194805949926|0.010287130251526833|0.004181760363280773|0.005146178882569075|0.00838704314082861|0.2388908863067627

US Congressional 4
|Alpine|788|336|197|40|8|11|1|0|2|193
|Amador|23717|6780|10894|1055|98|347|65|30|55|4393
|Calaveras|29889|8237|13167|1433|170|477|100|160|253|5892
|El Dorado|124979|37470|51231|5361|631|1980|341|5|800|27160
|Fresno|9757|1890|5593|395|34|110|28|19|89|1599
|Madera|17207|4171|8776|739|55|204|43|77|95|3047
|Mariposa|10916|3101|4931|464|59|125|33|34|109|2060
|Nevada|9979|4736|1909|364|94|117|24|11|1246|1478
|Placer|217443|65723|89487|7544|703|3752|487|1077|942|47728
|Tuolumne|32562|9634|14053|1411|145|425|113|8|51|6722
District Total||477237|142078|200238|18806|1997|7548|1235|1421|3642|100272
|Percent||0.29770952463150024|0.4195776879787445|0.03940599784255028|0.004184503573924303|0.015816040337085724|0.0025878127198666334|0.0029775563161820173|0.00763142853975296|0.21010944247245789

US Congressional 5
|Contra Costa|57574|32314|8386|1636|302|447|209|261|133|13886
|Lake|18029|6861|5599|765|137|227|64|13|26|4337
|Napa|80667|38428|17494|2697|486|779|275|512|271|19725
|Solano|85979|47886|12505|2353|379|580|414|481|533|20848
|Sonoma|162026|87815|28805|4554|1198|1547|506|1093|790|35718
District Total||404275|213304|72789|12005|2502|3580|1468|2360|1753|94514
|Percent||0.5276210308074951|0.18004822731018066|0.02969513274729252|0.006188856437802315|0.008855358697474003|0.003631191560998559|0.005837610457092524|0.004336157348006964|0.23378640413284302

US Congressional 6
|Sacramento|351484|180026|63379|11209|1681|3380|2884|2513|1068|85344
|Yolo|28681|12615|6271|1115|114|246|204|173|123|7820
District Total||380165|192641|69650|12324|1795|3626|3088|2686|1191|93164
|Percent||0.5067299604415894|0.18320992588996887|0.032417502254247665|0.004721634089946747|0.009537964127957821|0.008122788742184639|0.007065352983772755|0.0031328501645475626|0.24506200850009918

US Congressional 7
|Sacramento|434278|173208|134429|15452|1549|5035|1988|2418|1293|98906
District Total||434278|173208|134429|15452|1549|5035|1988|2418|1293|98906
|Percent||0.3988412916660309|0.30954596400260925|0.035580895841121674|0.0035668397322297096|0.01159395556896925|0.0045777130872011185|0.005567862186580896|0.0029773556161671877|0.22774812579154968

US Congressional 8
|Inyo|10029|3299|4072|385|35|90|33|31|57|2027
|Mono|7095|2627|2178|263|50|79|29|3|7|1859
|San Bernardino|335685|110711|122976|16641|1140|3518|1857|2054|2343|74445
District Total||352809|116637|129226|17289|1225|3687|1919|2088|2407|78331
|Percent||0.33059531450271606|0.3662775158882141|0.04900385066866875|0.0034721335396170616|0.010450413450598717|0.0054392036981880665|0.005918216425925493|0.006822388153523207|0.2220209836959839

US Congressional 9
|Contra Costa|116308|54359|27933|4204|319|969|434|616|266|27208
|Sacramento|14641|4843|5577|590|40|160|72|77|46|3236
|San Joaquin|225616|101340|62760|6783|599|1862|1196|2291|736|48049
District Total||356565|160542|96270|11577|958|2991|1702|2984|1048|78493
|Percent||0.45024609565734863|0.269992858171463|0.03246813267469406|0.0026867471169680357|0.008388372138142586|0.0047733234241604805|0.008368740789592266|0.0029391555581241846|0.2201365828514099

US Congressional 10
|San Joaquin|100854|39644|31680|3452|274|905|395|981|364|23159
|Stanislaus|261326|99378|92542|8769|663|2312|1140|1552|2197|52773
District Total||362180|139022|124222|12221|937|3217|1535|2533|2561|75932
|Percent||0.38384780287742615|0.342984139919281|0.033742889761924744|0.002587111433967948|0.008882323279976845|0.004238224122673273|0.006993759889155626|0.0070710694417357445|0.20965266227722168

US Congressional 11
|Contra Costa|436511|229712|80883|12021|1953|3294|1518|2001|1084|104045
District Total||436511|229712|80883|12021|1953|3294|1518|2001|1084|104045
|Percent||0.5262455940246582|0.18529430031776428|0.027538824826478958|0.0044741141609847546|0.007546201813966036|0.0034775754902511835|0.004584076814353466|0.00248332810588181|0.23835596442222595

US Congressional 12
|San Francisco|447027|272864|28145|7673|2844|2822|1351|3514|728|127086
District Total||447027|272864|28145|7673|2844|2822|1351|3514|728|127086
|Percent||0.6103971600532532|0.06296040117740631|0.01716451160609722|0.006362031679600477|0.0063128178007900715|0.003022188786417246|0.007860822603106499|0.0016285369638353586|0.2842915654182434

US Congressional 13
