County|Eligible|Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
Alameda|1097087|920175|534265|100324|19015|5683|5305|3354|47|5825|246357
Percent||0.8387438654899597|0.5806123614311218|0.10902708768844604|0.020664546638727188|0.006175999063998461|0.005765207577496767|0.0036449588369578123|5.1077240641461685e-05|0.006330317817628384|0.26772841811180115

Alpine|946|788|336|197|40|8|11|1|0|2|193
Percent||0.8329809904098511|0.4263959527015686|0.25|0.05076142027974129|0.010152284055948257|0.013959391042590141|0.0012690355069935322|0|0.0025380710139870644|0.24492385983467102

Amador|27959|23717|6780|10894|1055|98|347|65|30|55|4393
Percent||0.8482778072357178|0.28587087988853455|0.45933297276496887|0.04448286071419716|0.004132057074457407|0.014630855061113834|0.0027406502049416304|0.0012649154523387551|0.00231901160441339|0.18522578477859497

Butte|169009|116182|41448|40779|4517|706|1433|460|507|1017|25315
Percent||0.6874308586120605|0.35675060749053955|0.3509924113750458|0.038878656923770905|0.006076672580093145|0.012334096245467663|0.003959305118769407|0.004363842774182558|0.008753507398068905|0.2178908884525299

Calaveras|36048|29889|8237|13167|1433|170|477|100|160|253|5892
Percent||0.8291444778442383|0.27558633685112|0.4405299723148346|0.04794406145811081|0.0056877112947404385|0.01595904864370823|0.0033457125537097454|0.00535314017906785|0.008464652113616467|0.19712938368320465

Colusa|12575|9093|2852|3664|287|16|96|37|0|3|2138
Percent||0.7231013774871826|0.3136478662490845|0.402947336435318|0.031562741845846176|0.001759595237672329|0.010557571426033974|0.004069064278155565|0|0.0003299241070635617|0.23512591421604156

Contra Costa|764578|657273|336575|127256|19119|2677|5046|2214|3092|1584|159710
Percent||0.8596546053886414|0.5120779275894165|0.19361208379268646|0.029088370501995087|0.004072889219969511|0.0076771751046180725|0.0033684633672237396|0.004704285878688097|0.002409957582131028|0.24298883974552155

Del Norte|18239|15182|4563|5802|713|101|185|90|11|67|3650
