County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Alameda	1096070	905763	516497	98498	19140	6424	5360	3333	2	5921	250588
Percent		0.8263733386993408	0.5702341794967651	0.10874588787555695	0.021131355315446854	0.007092363201081753	0.005917662754654884	0.0036797705106437206	2.2080830603954382e-06	0.0065370299853384495	0.2766595780849457

Alpine	946	797	335	207	35	7	10	2	0	3	198
Percent		0.8424947261810303	0.42032623291015625	0.259723961353302	0.04391467943787575	0.00878293626010418	0.012547051534056664	0.002509410260245204	0	0.003764115506783128	0.24843162298202515

Amador	27881	23382	6608	10565	1069	101	353	66	28	56	4536
Percent		0.8386356234550476	0.28261056542396545	0.4518432915210724	0.045718930661678314	0.0043195621110498905	0.015097083523869514	0.002822684124112129	0.0011975023662671447	0.0023950047325342894	0.1939953863620758

Butte	169148	114641	40230	39441	4601	786	1448	449	532	1069	26085
Percent		0.67775559425354	0.3509215712547302	0.3440392315387726	0.04013398289680481	0.006856185849756002	0.012630734592676163	0.0039165741764009	0.004640573635697365	0.009324762038886547	0.2275363951921463

Calaveras	36050	29948	8174	12894	1522	186	484	110	166	252	6160
Percent		0.8307350873947144	0.2729397714138031	0.43054628372192383	0.05082142353057861	0.006210765335708857	0.016161346808075905	0.0036730333231389523	0.005542940925806761	0.008414585143327713	0.20568986237049103

Colusa	12573	9000	2791	3581	295	18	95	32	0	3	2185
Percent		0.7158195972442627	0.3101111054420471	0.3978888988494873	0.032777778804302216	0.0020000000949949026	0.010555555112659931	0.003555555595085025	0	0.00033333332976326346	0.2427777796983719

Contra Costa	763918	649157	326668	125575	19168	2927	5153	2176	3030	1487	162973
Percent		0.8497731685638428	0.5032187700271606	0.1934431940317154	0.02952752634882927	0.004508924670517445	0.007937987335026264	0.0033520397264510393	0.004667591769248247	0.0022906630765646696	0.2510533034801483

Del Norte	18218	14964	4518	5474	741	100	186	92	10	73	3770
Percent		0.8213854432106018	0.30192461609840393	0.365811288356781	0.04951884597539902	0.006682705134153366	0.012429831549525261	0.006148088723421097	0.0006682705134153366	0.004878374747931957	0.25193798542022705

El Dorado	144218	123085	36185	49884	5431	652	1967	361	1	799	27805
Percent		0.8534649014472961	0.2939838469028473	0.4052809178829193	0.04412398114800453	0.005297152325510979	0.015980826690793037	0.002932932460680604	8.124467058223672e-06	0.006491449195891619	0.225900799036026

Fresno	604742	477853	183363	154920	15080	1507	3747	2239	1701	4384	110912
Percent		0.7901766300201416	0.38372260332107544	0.3242001235485077	0.03155782073736191	0.0031536894384771585	0.007841323502361774	0.004685541149228811	0.0035596720408648252	0.009174369275569916	0.2321048527956009

Glenn	18941	13382	3744	5743	547	36	161	48	11	31	3061
Percent		0.7065097093582153	0.2797788083553314	0.4291585683822632	0.04087580367922783	0.002690180903300643	0.012031086720526218	0.003586907871067524	0.000821999681647867	0.0023165445309132338	0.22874009609222412

Humboldt	104664	77715	34500	18068	2662	1654	908	387	432	385	18719
Percent		0.7425189018249512	0.4439297318458557	0.23249050974845886	0.03425336256623268	0.021282892674207687	0.01168371643871069	0.004979733843356371	0.005558772478252649	0.004953998606652021	0.2408672720193863

Imperial	100121	75711	36283	14118	1892	216	466	503	704	339	21190
Percent		0.7561950087547302	0.47923022508621216	0.18647223711013794	0.024989763274788857	0.0028529539704322815	0.00615498423576355	0.006643684580922127	0.009298516437411308	0.004477552603930235	0.2798800766468048

Inyo	13698	9826	3184	3918	390	40	90	34	26	54	2090
Percent		0.7173309922218323	0.3240382671356201	0.3987380564212799	0.039690617471933365	0.004070832394063473	0.009159373119473457	0.0034602077212184668	0.002646041102707386	0.0054956236854195595	0.2127009928226471

Kern	527214	392176	132750	137924	14396	1035	3874	1954	3469	1029	95745
Percent		0.743864893913269	0.33849596977233887	0.35168904066085815	0.036708008497953415	0.0026391211431473494	0.009878218173980713	0.004982457030564547	0.008845518343150616	0.0026238218415528536	0.24413783848285675

Kings	82556	55026	18116	21725	1707	129	525	228	393	305	11898
Percent		0.6665293574333191	0.32922619581222534	0.3948133587837219	0.03102169930934906	0.002344346372410655	0.00954094436019659	0.004143495578318834	0.007142078131437302	0.005542834289371967	0.2162250578403473

Lake	49254	33538	12639	9251	1532	321	388	192	26	55	9134
Percent		0.6809192895889282	0.37685608863830566	0.27583637833595276	0.04567952826619148	0.009571232832968235	0.011568966321647167	0.00572484964504838	0.0007752400124445558	0.0016399308806285262	0.2723477780818939

Lassen	16667	13874	2604	7183	781	50	164	53	12	71	2956
Percent		0.8324233293533325	0.18768920004367828	0.5177310109138489	0.0562923438847065	0.0036038632970303297	0.011820672079920769	0.0038200952112674713	0.0008649271912872791	0.005117485765367746	0.2130603939294815

