District_Code|County_List|Registration_List
usrep01|Butte; Shasta; Nevada; Tehama; Placer; Siskiyou; Lassen; Plumas; Modoc; Sierra; Glenn|116182; 103883; 58172; 35087; 30489; 27662; 14028; 12688; 4984; 2123; 1177
usrep02|Marin; Sonoma; Humboldt; Mendocino; Del Norte; Trinity|166260; 117312; 79198; 52602; 15182; 7897
usrep03|Solano; Yolo; Sutter; Yuba; Sacramento; Lake; Glenn; Colusa|153288; 88697; 48423; 36707; 18253; 15876; 12277; 9093
usrep04|Placer; El Dorado; Tuolumne; Calaveras; Amador; Madera; Mariposa; Nevada; Fresno; Alpine|217443; 124979; 32562; 29889; 23717; 17207; 10916; 9979; 9757; 788
usrep05|Sonoma; Solano; Napa; Contra Costa; Lake|162026; 85979; 80667; 57574; 18029
usrep06|Sacramento; Yolo|351484; 28681
usrep07|Sacramento|434278
usrep08|San Bernardino; Inyo; Mono|335685; 10029; 7095
usrep09|San Joaquin; Contra Costa; Sacramento|225616; 116308; 14641
usrep10|Stanislaus; San Joaquin|261326; 100854
usrep11|Contra Costa|436511
usrep12|San Francisco|447027
usrep13|Alameda; San Francisco|460319; 0
usrep14|San Mateo; San Francisco|344629; 58219
usrep15|Alameda; Contra Costa|366874; 46880
usrep16|Fresno; Merced; Madera|142178; 104706; 44644
usrep17|Santa Clara; Alameda|256212; 92982
usrep18|Santa Clara; San Mateo; Santa Cruz|315065; 72670; 36377
usrep19|Santa Clara|371893
usrep20|Monterey; Santa Cruz; San Benito; Santa Clara|195245; 127227; 32453; 8122
usrep21|Kern; Fresno; Kings; Tulare|102486; 78307; 55738; 7702
usrep22|Fresno; Tulare|241142; 138513
usrep23|Kern; Los Angeles; Tulare|296668; 47031; 36871
usrep24|Santa Barbara; San Luis Obispo; Ventura|226923; 176343; 5687
usrep25|Los Angeles; Ventura|348968; 71960
usrep26|Ventura; Los Angeles|384210; 6344
usrep27|Los Angeles; San Bernardino|385015; 23742
usrep28|Los Angeles|451809
usrep29|Los Angeles|343799
usrep30|Los Angeles; Ventura|457360; 1370
usrep31|San Bernardino|366805
usrep32|Los Angeles|356124
usrep33|Los Angeles|495794
usrep34|Los Angeles|334731
usrep35|San Bernardino; Los Angeles|247416; 69207
usrep36|Riverside|347687
usrep37|Los Angeles|446388
usrep38|Los Angeles; Orange|386166; 8675
usrep39|Orange; Los Angeles; San Bernardino|239180; 108614; 42542
usrep40|Los Angeles|300433
usrep41|Riverside|323197
usrep42|Riverside|398999
usrep43|Los Angeles|401333
usrep44|Los Angeles|362052
usrep45|Orange|440760
usrep46|Orange|269160
usrep47|Los Angeles; Orange|245617; 145195
usrep48|Orange|423952
usrep49|San Diego; Orange|315795; 107485
usrep50|San Diego; Riverside|365087; 46434
usrep51|San Diego; Imperial|259079; 77111
usrep52|San Diego|444192
usrep53|San Diego|441985
