||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
Alameda
  Districts
|County Supervisorial 1|172457|76904|33396|4506|499|1281|400|14|1016|54441
|County Supervisorial 2|162342|88895|18932|3425|617|878|706|12|991|47886
|County Supervisorial 3|175435|105101|15247|3575|1107|999|784|9|1169|47444
|County Supervisorial 4|192852|111506|24849|4405|1036|1187|735|9|1284|47841
|County Supervisorial 5|217089|151859|7900|3104|2424|960|729|3|1365|48745

|US Congressional 13|460319|306567|24762|7841|4080|2189|1847|15|3023|109995
|US Congressional 15|366874|182996|62811|9306|1323|2619|1251|23|2295|104250
|US Congressional 17|92982|44702|12751|1868|280|497|256|9|507|32112

|State Senate 7|135019|56495|33571|4210|369|1181|264|11|817|38101
|State Senate 9|455879|304136|24264|7736|4055|2165|1827|15|3001|108680
|State Senate 10|329277|173634|42489|7069|1259|1959|1263|21|2007|99576

|State Assembly 15|173455|122748|6975|2313|1943|804|447|1|976|37248
|State Assembly 16|133502|55975|33043|4159|359|1169|264|11|802|37720
|State Assembly 18|286142|183420|17714|5509|2131|1382|1396|14|2043|72533
|State Assembly 20|249332|134750|32175|5474|1015|1551|1038|13|1589|71727
|State Assembly 25|77744|37372|10417|1560|235|399|209|8|415|27129

|State Board of Equalization 2|920175|534265|100324|19015|5683|5305|3354|47|5825|246357

  Cities
|Alameda|50054|29609|5336|1057|345|332|110|3|278|12984
|Albany|11775|8155|555|135|125|47|21|0|56|2681
|Berkeley|80205|57799|2229|950|1042|342|233|1|441|17168
|Dublin|30919|14029|5350|785|53|233|62|2|178|10227
|Emeryville|7046|4693|333|125|47|48|16|0|49|1735
|Fremont|109784|52343|14968|2104|323|596|262|8|625|38555
|Hayward|74800|43348|7804|1641|323|442|440|5|487|20310
|Livermore|55090|22303|15565|2011|184|549|125|5|338|14010
|Newark|23354|12285|3245|549|86|128|79|4|113|6865
|Oakland|253357|172782|9908|4328|2266|1126|1245|8|1847|59847
|Piedmont|8728|5488|1082|140|38|41|9|0|39|1891
|Pleasanton|45760|19134|11359|1303|112|349|74|4|271|13154
|San Leandro|48418|27632|5245|1086|211|250|209|3|309|13473
|Union City|38302|20670|4371|752|126|168|136|2|239|11838

|Unincorporated Area|82583|43995|12974|2049|402|654|333|2|555|21619
Alameda Totals||920175|534265|100324|19015|5683|5305|3354|47|5825|246357
     Percent|||0.5806123614311218|0.10902708768844604|0.020664546638727188|0.006175999063998461|0.005765207577496767|0.0036449588369578123|5.1077240641461685e-05|0.006330317817628384|0.26772841811180115

Alpine
  Districts
|County Supervisorial 1|154|65|43|6|4|3|0|0|0|33
|County Supervisorial 2|169|79|42|3|1|2|0|0|0|42
|County Supervisorial 3|108|50|12|10|0|2|1|0|1|32
|County Supervisorial 4|153|76|33|8|1|2|0|0|0|33
|County Supervisorial 5|204|66|67|13|2|2|0|0|1|53

|US Congressional 4|788|336|197|40|8|11|1|0|2|193

|State Senate 1|788|336|197|40|8|11|1|0|2|193

|State Assembly 5|788|336|197|40|8|11|1|0|2|193

|State Board of Equalization 1|788|336|197|40|8|11|1|0|2|193

  Cities
|Unincorporated Area|788|336|197|40|8|11|1|0|2|193
Alpine Totals||788|336|197|40|8|11|1|0|2|193
     Percent|||0.4263959527015686|0.25|0.05076142027974129|0.010152284055948257|0.013959391042590141|0.0012690355069935322|0|0.0025380710139870644|0.24492385983467102

Amador
  Districts
|County Supervisorial 1|4484|1362|1946|204|14|70|19|11|6|852
|County Supervisorial 2|5666|1367|2884|239|15|88|14|6|15|1038
|County Supervisorial 3|4251|1283|1900|205|17|47|13|4|10|772
|County Supervisorial 4|4611|1349|2080|216|20|71|9|3|13|850
|County Supervisorial 5|4705|1419|2084|191|32|71|10|6|11|881

|US Congressional 4|23717|6780|10894|1055|98|347|65|30|55|4393

|State Senate 8|23717|6780|10894|1055|98|347|65|30|55|4393

|State Assembly 5|23717|6780|10894|1055|98|347|65|30|55|4393

|State Board of Equalization 1|23717|6780|10894|1055|98|347|65|30|55|4393

  Cities
|Amador|146|73|41|5|0|2|0|0|0|25
|Ione|2918|701|1489|117|7|53|5|3|4|539
|Jackson|2888|943|1133|144|10|49|10|10|5|584
|Plymouth|598|168|272|16|3|9|4|1|2|123
|Sutter Creek|1793|582|740|79|9|27|5|0|3|348

|Unincorporated Area|15374|4313|7219|694|69|207|41|16|41|2774
Amador Totals||23717|6780|10894|1055|98|347|65|30|55|4393
     Percent|||0.28587087988853455|0.45933297276496887|0.04448286071419716|0.004132057074457407|0.014630855061113834|0.0027406502049416304|0.0012649154523387551|0.00231901160441339|0.18522578477859497

Butte
  Districts
|County Supervisorial 1|23414|6335|9547|1080|114|269|135|135|256|5543
|County Supervisorial 2|26569|11097|7813|952|174|355|78|101|196|5803
|County Supervisorial 3|28535|11793|8718|932|198|368|88|110|246|6082
|County Supervisorial 4|23156|7917|8683|821|121|275|103|98|183|4955
|County Supervisorial 5|14508|4306|6018|732|99|166|56|63|136|2932

|US Congressional 1|116182|41448|40779|4517|706|1433|460|507|1017|25315

|State Senate 4|116182|41448|40779|4517|706|1433|460|507|1017|25315

|State Assembly 1|10054|2917|4092|505|80|128|57|49|98|2128
|State Assembly 3|106128|38531|36687|4012|626|1305|403|458|919|23187

|State Board of Equalization 1|116182|41448|40779|4517|706|1433|460|507|1017|25315

  Cities
|Biggs|858|271|354|27|2|10|7|5|6|176
|Chico|53758|23530|14661|1807|372|705|183|218|429|11853
|Gridley|3056|1090|1068|110|8|29|13|15|25|698
|Oroville|8430|2572|2823|415|44|101|67|53|89|2266
|Paradise|5174|1400|2213|245|42|54|17|18|66|1119

|Unincorporated Area|44906|12585|19660|1913|238|534|173|198|402|9203
Butte Totals||116182|41448|40779|4517|706|1433|460|507|1017|25315
     Percent|||0.35675060749053955|0.3509924113750458|0.038878656923770905|0.006076672580093145|0.012334096245467663|0.003959305118769407|0.004363842774182558|0.008753507398068905|0.2178908884525299

Calaveras
  Districts
|County Supervisorial 1|5846|1407|2838|268|23|83|18|39|53|1117
|County Supervisorial 2|5125|1542|2032|263|43|97|30|28|42|1048
|County Supervisorial 3|6222|2188|2332|255|49|76|23|33|57|1209
|County Supervisorial 4|6733|1758|3056|336|34|130|16|31|53|1319
|County Supervisorial 5|5963|1342|2909|311|21|91|13|29|48|1199

|US Congressional 4|29889|8237|13167|1433|170|477|100|160|253|5892

|State Senate 8|29889|8237|13167|1433|170|477|100|160|253|5892

|State Assembly 5|29889|8237|13167|1433|170|477|100|160|253|5892

|State Board of Equalization 1|29889|8237|13167|1433|170|477|100|160|253|5892

  Cities
|Angels|2432|686|1082|117|10|60|7|10|14|446

|Unincorporated Area|27457|7551|12085|1316|160|417|93|150|239|5446
Calaveras Totals||29889|8237|13167|1433|170|477|100|160|253|5892
     Percent|||0.27558633685112|0.4405299723148346|0.04794406145811081|0.0056877112947404385|0.01595904864370823|0.0033457125537097454|0.00535314017906785|0.008464652113616467|0.19712938368320465

Colusa
  Districts
|County Supervisorial 1|2031|676|808|69|3|24|10|0|0|441
|County Supervisorial 2|1911|589|807|61|3|21|9|0|1|420
|County Supervisorial 3|1633|584|495|45|4|17|9|0|1|478
|County Supervisorial 4|1514|460|625|36|3|13|4|0|1|372
|County Supervisorial 5|2004|543|929|76|3|21|5|0|0|427

|US Congressional 3|9093|2852|3664|287|16|96|37|0|3|2138

|State Senate 4|9093|2852|3664|287|16|96|37|0|3|2138

|State Assembly 3|4679|1293|2171|154|8|47|16|0|2|988
|State Assembly 4|4414|1559|1493|133|8|49|21|0|1|1150

|State Board of Equalization 2|9093|2852|3664|287|16|96|37|0|3|2138

  Cities
|Colusa|2720|838|1128|93|4|32|13|0|1|611
|Williams|1708|715|346|42|4|12|9|0|1|579

|Unincorporated Area|4665|1299|2190|152|8|52|15|0|1|948
Colusa Totals||9093|2852|3664|287|16|96|37|0|3|2138
     Percent|||0.3136478662490845|0.402947336435318|0.031562741845846176|0.001759595237672329|0.010557571426033974|0.004069064278155565|0|0.0003299241070635617|0.23512591421604156

Contra Costa
  Districts
|County Supervisorial 1|112210|73098|8041|2193|766|560|624|646|248|26034
|County Supervisorial 2|157281|70436|39598|4427|431|1227|158|537|380|40087
|County Supervisorial 3|132559|61022|32608|4724|349|1099|467|700|308|31282
|County Supervisorial 4|136984|67225|29384|4324|590|1259|366|591|357|32888
|County Supervisorial 5|118239|64794|17625|3451|541|901|599|618|291|29419

|US Congressional 5|57574|32314|8386|1636|302|447|209|261|133|13886
|US Congressional 9|116308|54359|27933|4204|319|969|434|616|266|27208
|US Congressional 11|436511|229712|80883|12021|1953|3294|1518|2001|1084|104045
|US Congressional 15|46880|20190|10054|1258|103|336|53|214|101|14571

|State Senate 3|54522|27724|10996|1818|360|570|156|199|149|12550
|State Senate 7|463575|219947|105033|14480|1450|3768|1333|2109|1130|114325
|State Senate 9|139176|88904|11227|2821|867|708|725|784|305|32835

|State Assembly 11|138763|66917|30962|4955|396|1123|581|783|324|32722
|State Assembly 14|193640|98180|37611|6101|913|1755|736|888|502|46954
|State Assembly 15|133625|85771|10467|2682|837|666|702|754|295|31451
|State Assembly 16|191245|85707|48216|5381|531|1502|195|667|463|48583

|State Board of Equalization 2|657273|336575|127256|19119|2677|5046|2214|3092|1584|159710

  Cities
|Antioch|57326|31297|8837|1851|180|407|314|369|141|13930
|Brentwood|36822|15452|10585|1373|95|360|92|189|86|8590
|Clayton|8350|3446|2728|293|20|78|9|26|22|1728
|Concord|68451|33981|13778|2261|296|654|243|344|181|16713
|Danville|30974|11709|10403|1034|56|290|30|84|68|7300
|El Cerrito|16801|11451|1069|205|155|74|43|70|25|3709
|Hercules|15540|9141|1765|344|45|70|49|74|34|4018
|Lafayette|18459|9349|4037|482|63|139|19|44|52|4274
|Martinez|24929|12698|5187|835|162|282|70|85|66|5544
|Moraga|11246|5212|2672|293|30|102|7|25|29|2876
|Oakley|22762|10733|5288|867|66|192|84|106|48|5378
