District_Code|Eligible|Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
ca|25251216|20660465|9361582|4937986|600057|83281|175352|95242|104680|120494|5181791
ca/alm|1097087|920175|534265|100324|19015|5683|5305|3354|47|5825|246357
ca/alp|946|788|336|197|40|8|11|1|0|2|193
ca/am|27959|23717|6780|10894|1055|98|347|65|30|55|4393
ca/bt|169009|116182|41448|40779|4517|706|1433|460|507|1017|25315
ca/clv|36048|29889|8237|13167|1433|170|477|100|160|253|5892
ca/cls|12575|9093|2852|3664|287|16|96|37|0|3|2138
ca/cc|764578|657273|336575|127256|19119|2677|5046|2214|3092|1584|159710
ca/dn|18239|15182|4563|5802|713|101|185|90|11|67|3650
ca/ed|144429|124979|37470|51231|5361|631|1980|341|5|800|27160
ca/fr|605557|471384|182797|153966|14852|1390|3660|2224|2005|4251|106239
ca/gl|18973|13454|3804|5930|520|39|163|47|11|33|2907
ca/hm|104590|79198|36241|18742|2602|1402|900|381|439|407|18084
ca/im|100340|77111|37161|14593|1930|217|477|537|768|339|21089
ca/in|13669|10029|3299|4072|385|35|90|33|31|57|2027
ca/kr|527791|399154|136156|143261|14741|1017|3895|2023|3670|1037|93354
ca/kn|82719|55738|18507|22186|1751|122|522|234|394|303|11719
ca/lk|49258|33905|13016|9659|1511|293|391|187|26|54|8768
ca/ls|16713|14028|2606|7427|781|45|169|56|14|66|2864
ca/la|6184428|5546785|2869677|935133|132867|21719|37631|34117|33172|43143|1439326
ca/mdr|90838|61851|20056|24159|2156|175|566|325|428|321|13665
ca/mrn|181150|166260|97221|22970|4157|1137|1212|319|481|553|38210
ca/mrp|14850|10916|3101|4931|464|59|125|33|34|109|2060
ca/mnd|63955|52602|25330|10644|1902|929|587|281|430|124|12375
ca/mrc|162588|104706|45090|29361|3658|310|874|501|143|199|24570
ca/mdc|7364|4984|1060|2667|250|15|54|19|7|17|895
ca/mon|9279|7095|2627|2178|263|50|79|29|3|7|1859
ca/mnt|247748|195245|98887|39604|5217|923|1456|845|1645|215|46453
ca/np|92164|80667|38428|17494|2697|486|779|275|512|271|19725
ca/nv|77963|68151|26151|22696|2587|664|907|193|44|6867|8042
ca/or|2024656|1634407|582362|558273|46744|4859|16139|5463|2418|4746|413403
ca/plc|283757|247932|74001|103380|8651|841|4275|560|1223|1096|53905
ca/plm|15957|12688|3628|5614|626|51|153|41|7|19|2549
ca/rv|1497969|1116317|434809|361558|39135|3107|9948|5061|6776|5228|250695
ca/sac|1026609|818656|363884|210189|28055|3334|8811|5060|5140|2463|191720
ca/sbn|38254|32453|15067|8468|996|107|290|130|31|44|7320
ca/sbo|1345805|1016190|410197|298234|39242|3092|8958|6009|6621|6120|237717
ca/sd|2232644|1826138|702356|504044|63137|6518|18378|7017|9408|9264|506016
ca/sf|656600|505246|305309|33077|8686|3142|3125|1545|4044|810|145508
ca/sj|468757|326470|140984|94440|10235|873|2767|1591|3272|1100|71208
ca/slo|209156|176343|64100|61587|6089|965|2052|504|885|1500|38661
ca/sm|507291|417299|222991|61076|9481|1726|2791|1214|2077|1767|114176
ca/sba|294561|226923|101983|57059|6532|1043|1963|760|1484|1413|54686
ca/scl|1202250|951292|459166|159360|21440|3370|7219|3323|165|2474|294775
ca/scz|187357|163604|94175|22739|3894|1395|1543|582|249|779|38248
ca/sh|134207|103883|24135|50398|4441|354|1269|379|106|284|22517
ca/sr|2619|2123|614|890|134|17|31|3|2|29|403
ca/ss|34522|27662|8328|10987|1350|166|359|138|153|76|6105
ca/sln|294638|239267|113247|53613|7685|835|2077|973|1200|1439|58198
ca/sn|346196|279338|152661|50086|7663|2313|2614|820|1713|1299|60169
ca/stn|349155|261326|99378|92542|8769|663|2312|1140|1552|2197|52773
ca/str|60830|48423|14802|19540|1762|99|475|193|325|1740|9487
ca/th|44235|35087|8695|15895|1768|79|429|140|25|105|7951
ca/tr|11384|7897|2499|2679|397|84|108|53|122|87|1868
ca/tlr|268307|183086|59230|70261|6417|483|1694|814|1684|652|41851
ca/tlm|40693|32562|9634|14053|1411|145|425|113|8|51|6722
ca/vn|546938|463227|191502|135824|13109|1687|4168|1564|4939|5164|105270
ca/yl|152152|117378|57884|23195|3521|666|1084|489|579|402|29558
ca/yb|50910|36707|10220|13938|1856|150|478|242|363|167|9293
usrep01||406475|120455|170034|17235|2144|5221|1480|1000|7391|81515
usrep02||438451|230700|82118|12880|4768|4059|1438|2103|1747|98638
usrep03||382614|154022|111271|13675|1529|3936|1600|1969|3209|91403
usrep04||477237|142078|200238|18806|1997|7548|1235|1421|3642|100272
usrep05||404275|213304|72789|12005|2502|3580|1468|2360|1753|94514
usrep06||380165|192641|69650|12324|1795|3626|3088|2686|1191|93164
usrep07||434278|173208|134429|15452|1549|5035|1988|2418|1293|98906
usrep08||352809|116637|129226|17289|1225|3687|1919|2088|2407|78331
usrep09||356565|160542|96270|11577|958|2991|1702|2984|1048|78493
usrep00||362180|139022|124222|12221|937|3217|1535|2533|2561|75932
usrep01||436511|229712|80883|12021|1953|3294|1518|2001|1084|104045
usrep02||447027|272864|28145|7673|2844|2822|1351|3514|728|127086
usrep03||460319|306567|24762|7841|4080|2189|1847|15|3023|109995
usrep04||402848|216948|53608|8883|1686|2494|1255|2292|1588|114094
usrep05||413754|203186|72865|10564|1426|2955|1304|237|2396|118821
usrep06||291528|129400|73202|9280|952|2171|1822|1320|1717|71664
usrep07||349194|163684|51187|6913|1044|2197|1021|63|1026|122059
usrep08||424112|210516|74645|9472|1840|3572|937|426|1051|121653
usrep09||371893|182716|64089|9385|1453|2994|1840|60|1332|108024
usrep00||363047|193569|65401|9256|2076|2842|1491|1865|871|85676
usrep01||244233|106177|65575|6861|515|1686|1497|2070|1321|58531
usrep02||379655|124692|150534|12909|1032|3444|1337|2024|2640|81043
usrep03||380570|112762|155557|15215|1019|3997|1609|3130|1268|86013
usrep04||408953|168659|119965|12813|2057|4096|1292|2407|2998|94666
usrep05||420928|161693|133771|13866|1210|3652|1644|2890|3485|98717
usrep06||390554|167547|108558|10826|1443|3418|1373|4136|4355|88898
usrep07||408757|184069|87881|8951|1594|2685|1950|2613|2793|116221
usrep08||451809|230740|74482|10283|2111|3350|1875|2539|3666|122763
usrep09||343799|185768|41963|8046|1488|2328|2447|2170|2816|96773
usrep00||458730|228772|89006|11886|1865|3422|1902|2360|3760|115757
usrep01||366805|158201|100154|12882|1050|2991|2154|2406|2216|84751
usrep02||356124|169163|72587|9146|1222|2398|2799|2234|2662|93913
usrep03||495794|230540|110690|12656|2030|4129|1244|2183|4378|127944
usrep04||334731|196290|29294|6351|1791|2099|2732|2695|2381|91098
usrep05||316623|153994|60792|9496|1009|2438|2861|2291|1846|81896
usrep06||347687|143087|108479|12573|1011|2735|1654|2049|1780|74319
usrep07||446388|281607|35671|9139|1833|2513|2442|2481|3456|107246
usrep08||394841|194510|81224|9785|1240|2507|2646|2016|2776|98137
usrep09||390336|140129|128031|10217|1023|3047|1273|1240|1516|103860
usrep00||300433|177157|30214|6145|1043|1666|2944|2144|2072|77048
usrep01||323197|151847|78858|9502|963|2504|1870|2188|1350|74115
usrep02||398999|126752|155507|14947|1012|4108|1412|2287|1836|91138
usrep03||401333|229755|51852|9089|1336|2303|2403|2533|3157|98905
usrep04||362052|214828|36085|7808|1205|1861|3767|2353|2823|91322
usrep05||440760|146498|157064|12370|1172|4340|1005|687|1140|116484
usrep06||269160|129670|57914|6493|861|2350|1575|388|806|69103
usrep07||390812|176647|92679|10759|1788|3442|2528|1644|2602|98723
usrep08||423952|135618|160713|13335|1412|4767|1231|629|1340|104907
usrep09||423280|142363|145173|15585|1430|4736|1192|1557|1465|109779
usrep00||411521|118599|164019|16673|1326|4650|1384|1877|1637|101356
usrep01||336190|158870|54587|9102|1231|2414|2536|2764|3119|101567
usrep02||444192|167063|122378|14831|1457|4546|1067|2065|1374|129411
usrep03||441985|195744|97695|14765|1744|4300|1758|2275|2602|121102
caasm01||280994|81170|119498|12037|1614|3673|1000|578|7657|53767
caasm02||272687|132363|60424|8754|3500|2885|1124|1684|1210|60743
caasm03||244478|77345|94161|10072|1001|2897|1041|1182|2966|53813
caasm04||264376|124924|59410|8539|1643|2634|931|1291|913|64091
caasm05||259768|79449|106333|10946|1296|3511|989|728|1400|55116
caasm06||330787|99671|137065|11900|957|5424|670|1388|1345|72367
caasm07||259313|128130|49612|8616|1274|2675|1929|1758|809|64510
caasm08||273244|109972|83677|10198|1147|3430|1587|1542|913|60778
caasm09||259964|120127|63753|8127|823|2085|1660|1839|712|60838
caasm00||289743|165967|43559|7548|2211|2353|700|1248|1126|65031
caasm01||275575|126593|65947|9729|810|2437|1109|1436|1129|66385
caasm02||253111|87382|97779|8825|636|2382|893|1652|1699|51863
caasm03||205536|100633|46519|5983|548|1528|1160|2298|734|46133
caasm04||279629|146071|50120|8454|1292|2335|1150|1369|1035|67803
caasm05||307080|208519|17442|4995|2780|1470|1149|755|1271|68699
caasm06||324747|141682|81259|9540|890|2671|459|678|1265|86303
caasm07||293158|184573|14806|4725|1981|1827|1057|2445|550|81194
caasm08||286142|183420|17714|5509|2131|1382|1396|14|2043|72533
caasm09||277426|156958|25138|5205|1383|1600|777|1995|544|83826
caasm00||249332|134750|32175|5474|1015|1551|1038|13|1589|71727
caasm01||198244|86311|56747|6606|561|1631|1049|753|957|43629
caasm02||279577|147874|43040|6625|1120|1894|682|1323|1196|75823
caasm03||286712|98035|110389|9800|891|2521|986|1046|2512|60532
caasm04||255853|132912|36652|4640|1021|1850|577|379|573|77249
caasm05||231772|109596|34329|4917|713|1454|785|48|764|79166
caasm06||198480|63567|76947|7225|540|1861|891|1761|718|44970
caasm07||219977|111016|31161|4901|851|1517|1319|36|964|68212
caasm08||273081|127209|51530|6411|938|2243|660|48|595|83447
caasm09||294731|152909|54337|8157|2061|2823|915|919|919|71691
caasm00||217308|109920|43748|5693|830|1615|1076|1026|399|53001
caasm01||188221|85787|45247|5176|514|1169|1248|984|1749|46347
caasm02||158897|71938|39720|4473|339|1162|1057|1669|578|37961
caasm03||231503|77930|81800|11863|731|2375|1400|1428|1671|52305
caasm04||267368|74755|114285|10478|706|2909|1047|2112|689|60387
caasm05||262029|95597|89609|9034|1194|2741|906|1519|1997|59432
caasm06||252850|102069|75280|9415|727|2161|1332|1796|1755|58315
caasm07||281460|133579|64799|7637|1541|2580|883|2210|2510|65721
caasm08||302562|109747|101827|9328|901|2722|874|1991|2688|72484
caasm09||244380|128481|34386|5825|1092|1685|1675|1427|2071|67738
caasm00||248237|103070|74584|8921|746|2060|1267|1527|1487|54575
caasm01||300465|137912|77126|8033|1279|2349|1142|1418|2173|69033
caasm02||255516|92739|91233|10455|809|2377|1058|1462|1453|53930
caasm03||294001|142165|54646|6670|1269|2105|1187|1709|2390|81860
caasm04||250709|105101|72420|6803|751|2117|851|2757|2779|57130
caasm05||286893|139410|58760|7457|1133|2031|1354|1603|2290|72855
caasm06||261154|140985|35491|6478|1119|2003|1316|1480|2142|70140
caasm07||215505|106219|39655|6778|591|1532|1746|1629|1192|56163
caasm08||239440|112985|50175|6176|802|1657|1923|1483|1799|62440
caasm09||225979|96977|41184|4441|772|1245|1447|1917|1470|76526
caasm00||341073|184462|50881|8123|1631|2624|972|1552|3044|87784
caasm01||239331|145677|19871|4325|1270|1425|1998|1614|1597|61554
caasm02||214129|102059|44092|6409|694|1712|1983|1506|1307|54367
caasm03||201581|117553|16745|3888|992|1274|1653|1717|1488|56271
caasm04||310723|194955|26511|6309|1268|1826|1401|1530|2457|74466
caasm05||262151|89660|88905|6890|634|1921|878|1025|1199|71039
caasm06||194075|92901|43821|5501|538|1282|1196|1541|849|46446
caasm07||255044|123239|54767|6490|808|1670|1697|1275|1772|63326
caasm08||250822|131529|41806|5675|797|1469|1885|1456|1736|64469
caasm09||210566|135358|10616|4282|758|915|2091|1762|1510|53274
caasm00||226737|93018|70251|6708|554|1843|1012|1435|862|51054
caasm01||219628|103793|52190|6526|684|1722|1255|1474|921|51063
caasm02||283027|167601|30332|6453|1106|1878|1571|1691|2482|69913
caasm03||220210|122713|29538|4943|725|1349|2184|1402|1525|55831
caasm04||248831|152553|20601|5282|739|1066|2534|1678|2046|62332
caasm05||222864|92953|63668|5754|653|1796|910|353|593|56184
caasm06||301171|126014|82623|7754|970|2436|893|1455|2306|76720
caasm07||269651|81957|107017|10979|741|2827|1084|1581|1383|62082
caasm08||278033|92934|98491|7829|803|2925|746|436|705|73164
caasm09||163430|83916|29186|3632|547|1395|1053|221|520|42960
caasm00||278882|140266|52140|7694|1551|2446|2030|1536|2424|68795
caasm01||271526|78505|108998|11199|862|2966|957|1263|1357|65419
caasm02||252810|86440|88575|7069|744|2409|1126|442|828|65177
caasm03||298244|87990|123149|9953|848|3189|664|352|860|71239
caasm04||289178|97429|102206|8757|961|3264|670|426|894|74571
caasm05||269344|82670|101136|10650|890|3140|932|1254|1082|67590
caasm06||268724|95953|83637|10303|982|3072|862|1255|1026|71634
caasm07||301468|106172|90498|9798|790|2744|657|1339|838|88632
caasm08||294211|133975|60391|9852|1352|3496|891|1414|1131|81709
caasm09||279457|120645|61266|9245|1018|2437|1325|1708|2233|79580
caasm00||233550|110198|36580|6193|897|1695|1660|1634|2129|72564
casen01||609241|180403|254871|24585|2850|8998|1728|1513|9150|125143
casen02||551154|286776|105335|16438|5698|5266|1926|2726|2200|124789
casen03||549736|270636|115505|17271|2807|5030|1910|2838|2537|131202
casen04||522223|173998|192742|20717|2098|6969|2371|2700|4030|116598
casen05||464884|193869|142989|15089|1229|4069|2158|4077|2232|99172
casen06||533858|266048|105870|16935|2248|4773|3812|3659|1597|128916
casen07||598594|276442|138604|18690|1819|4949|1597|2120|1947|152426
casen08||554548|183506|218662|20227|1884|5601|2005|2074|4118|116471
casen09||595055|393040|35491|10557|4922|2873|2552|799|3306|141515
casen00||482785|246362|66017|10396|1745|3056|1806|63|2344|150996
casen01||568370|340244|39705|9882|3358|3418|1828|4426|1085|164424
casen02||377188|169719|99390|11104|1068|2746|2015|2044|1534|87568
casen03||534908|280866|79412|11261|2145|3738|1261|1714|1771|152740
casen04||326981|145537|82503|9228|782|2276|2144|2909|1777|79825
casen05||498633|238632|85638|11534|1784|3768|1942|82|1541|153712
casen06||481235|139511|199229|20059|1405|5240|2097|3856|1759|108079
casen07||567749|264629|135692|17015|3475|5697|1943|1929|2684|134685
casen08||503382|268948|69222|12256|2139|3608|2967|2893|4233|137116
casen09||491053|224429|121135|13724|2159|4212|1887|4517|4254|114736
casen00||429634|208278|83747|13187|1285|3244|3729|3135|2499|110530
casen01||515203|199048|159941|20317|1465|4502|2651|3286|3890|120103
casen02||451407|213269|77930|10006|1542|2673|3493|3345|3136|136013
casen03||521289|188950|183303|20757|1618|4869|2458|3138|3099|113097
casen04||446742|267160|37212|8134|2287|2721|3517|3153|3091|119467
casen05||593621|264554|145364|15162|2460|4517|2329|3193|4607|151435
casen06||658624|325884|126757|16322|2818|5474|1804|3022|5684|170859
casen07||591648|251850|161476|16290|2122|4863|2039|3922|5471|143615
casen08||488154|175987|173034|18353|1339|4676|1890|2701|2379|107795
casen09||479333|181368|149688|12465|1271|3690|1813|1359|1788|125891
casen00||545033|349248|36496|11357|2209|2760|3774|3563|4340|131286
casen01||446365|196811|122441|13234|1238|3565|2267|2909|1783|102117
casen02||519558|253647|108171|12913|1653|3369|3417|2629|3494|130265
casen03||439252|249408|51625|10117|1912|3003|4328|2912|3353|112594
casen04||436125|177362|125808|11371|1435|4038|2156|792|1623|111540
casen05||515102|296392|63190|11398|1657|2839|3983|3287|4088|128268
casen06||572750|185638|209124|20471|1863|6321|1545|1633|1914|144241
