||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
State Senate 1
|Alpine|788|336|197|40|8|11|1|0|2|193
|El Dorado|124979|37470|51231|5361|631|1980|341|5|800|27160
|Lassen|14028|2606|7427|781|45|169|56|14|66|2864
|Modoc|4984|1060|2667|250|15|54|19|7|17|895
|Nevada|68151|26151|22696|2587|664|907|193|44|6867|8042
|Placer|155487|45142|66576|5434|582|2746|340|730|729|33208
|Plumas|12688|3628|5614|626|51|153|41|7|19|2549
|Sacramento|94468|30933|36188|3581|317|1319|217|445|261|21207
|Shasta|103883|24135|50398|4441|354|1269|379|106|284|22517
|Sierra|2123|614|890|134|17|31|3|2|29|403
|Siskiyou|27662|8328|10987|1350|166|359|138|153|76|6105
District Total||609241|180403|254871|24585|2850|8998|1728|1513|9150|125143
|Percent||0.2961110770702362|0.41834184527397156|0.04035348817706108|0.00467795180156827|0.014769196510314941|0.002836315892636776|0.0024834179785102606|0.015018687583506107|0.2054080367088318

State Senate 2
|Del Norte|15182|4563|5802|713|101|185|90|11|67|3650
|Humboldt|79198|36241|18742|2602|1402|900|381|439|407|18084
|Lake|33905|13016|9659|1511|293|391|187|26|54|8768
|Marin|166260|97221|22970|4157|1137|1212|319|481|553|38210
|Mendocino|52602|25330|10644|1902|929|587|281|430|124|12375
|Sonoma|196110|107906|34839|5156|1752|1883|615|1217|908|41834
|Trinity|7897|2499|2679|397|84|108|53|122|87|1868
District Total||551154|286776|105335|16438|5698|5266|1926|2726|2200|124789
|Percent||0.5203191637992859|0.19111718237400055|0.029824694618582726|0.010338308289647102|0.009554498828947544|0.0034944862127304077|0.004945985972881317|0.003991624806076288|0.2264140397310257

State Senate 3
|Contra Costa|54522|27724|10996|1818|360|570|156|199|149|12550
|Napa|80667|38428|17494|2697|486|779|275|512|271|19725
|Sacramento|3355|1213|1231|158|13|35|16|25|8|656
|Solano|239267|113247|53613|7685|835|2077|973|1200|1439|58198
|Sonoma|83228|44755|15247|2507|561|731|205|496|391|18335
|Yolo|88697|45269|16924|2406|552|838|285|406|279|21738
District Total||549736|270636|115505|17271|2807|5030|1910|2838|2537|131202
|Percent||0.4923017621040344|0.21010994911193848|0.03141689673066139|0.0051060873083770275|0.009149846620857716|0.0034743950236588717|0.00516247795894742|0.004614942241460085|0.23866364359855652

State Senate 4
|Butte|116182|41448|40779|4517|706|1433|460|507|1017|25315
|Colusa|9093|2852|3664|287|16|96|37|0|3|2138
|Glenn|13454|3804|5930|520|39|163|47|11|33|2907
