contest_id|cand_id|cand_name|ballot_designation|cand_party|incumbent|qualified
110|002|DONALD J. TRUMP AND MICHAEL R. PENCE|||Y|Y
110|001|JOSEPH R. BIDEN AND KAMALA D. HARRIS|||N|Y
110|003|ROQUE "ROCKY" DE LA FUENTE GUERRA AND KANYE WEST|||N|Y
110|004|HOWIE HAWKINS AND ANGELA NICOLE WALKER|||N|Y
110|005|JO JORGENSEN AND JEREMY "SPIKE" COHEN|||N|Y
110|006|GLORIA LA RIVA AND SUNIL FREEMAN|||N|Y
1020|001|NANCY PELOSI|Member Of Congress||Y|Y
1020|002|SHAHID BUTTAR|Public Interest Lawyer||N|Y
1030|001|BARBARA LEE|United States Representative||N|Y
1030|002|NIKKA PITERMAN|Teacher/software Engineer||N|Y
1040|001|JACKIE SPEIER|Congresswoman||Y|Y
1040|002|RAN S PETEL|Financial Executive||N|Y
1130|001|SCOTT WIENER|State Senator, District 11||Y|Y
1130|002|JACKIE FIELDER|Educator / Nonprofit Organizer||N|Y
1210|001|PHIL TING|Assemblymember||Y|Y
1210|002|JOHN P. MCDONNELL|Attorney||N|Y
1310|001|DAVID CHIU|Assemblymember||Y|Y
1310|002|STARCHILD|||N|Y
5101|001|CONNIE CHAN|Legislative Policy Advisor||N|Y
5101|002|SHERMAN R. D'SILVA|Operations Manager||N|Y
5101|003|AMANDA INOCENCIO|Public Interest Attorney||N|Y
5101|006|DAVID E. LEE|Civil Rights Educator||N|Y
5101|007|ANDREW N. MAJALYA|Software Salesperson||N|Y
5101|005|MARJAN PHILHOUR|Neighborhood Business Owner||N|Y
5101|004|VERONICA SHINZATO|Consultant / Business Owner||N|Y
5103|003|AARON PESKIN|Supervisor||Y|Y
5103|004|DANNY SAUTER|Neighborhood Nonprofit Director||N|Y
5103|006|STEPHEN (LULU) SCHWARTZ|Human Rights Investigator||N|Y
5103|005|SPENCER SIMONSEN|Senior Services Provider||N|Y
5105|003|DEAN PRESTON|Supervisor||Y|Y
5105|005|VALLIE BROWN|Nonprofit Program Advisor||N|Y
5105|002|DANIEL LANDRY|Director, Arts Nonprofit||N|Y
5105|004|NOMVULA O'MEARA|Organizer / Film Producer||N|Y
5107|001|JOEL ENGARDIO|Journalist||N|Y
5107|003|STEPHEN W. MARTIN-PINTO|Firefighter / Military Reservist||N|Y
5107|004|BEN MATRANGA|Technology Equity Director||N|Y
5107|005|MYRNA MELGAR|Urban Planner||N|Y
5107|008|EMILY MURASE|City And County Of San Francisco Agency Director||N|Y
5107|006|VILASKA NGUYEN|Criminal Trial Attorney||N|Y
5107|010|KEN PIPER|Business Owner||N|Y
5109|002|HILLARY RONEN|District 9 Supervisor||Y|Y
5111|002|AHSHA SAFAI|District 11 Supervisor||Y|Y
5111|003|MARCELO COLUSSI|Small Business Owner||N|Y
5111|001|JOHN AVALOS|Healthcare Union Organizer||N|Y
6000|002|SHARON KIDD|Police Reform Counselor||N|Y
6000|001|LATEEFAH SIMON|Bart Director||N|Y
6030|001|BEVAN DUFTY|Bart Director||N|Y
6030|004|PATRICK MORTIERE|Nonprofit Director||N|Y
6030|002|MICHAEL PETRELIS|Lgbt Writer / Organizer||N|Y
6030|003|DAVID WEI WEN YOUNG|Engineer||N|Y
6100|009|MARK SANCHEZ|Public School Teacher||Y|Y
6100|004|JENNY LAM|Member, Board Of Education||Y|Y
6100|012|GENEVIEVE LAWRENCE|Teacher||N|Y
6100|006|MICHELLE PARKER|Parent / Nonprofit Director||N|Y
6100|013|NICK ROTHMAN|Teacher||N|Y
6100|007|MATT ALEXANDER|Educator / Organizer||N|Y
6100|011|ANDREW DOUGLAS ALSTON|Teacher||N|Y
6100|010|KEVINE BOGGESS|Education Policy Director||N|Y
6100|001|ALIDA FISHER|Special Education Consultant||N|Y
6100|002|PAUL KANGAS|Criminal Defense Investigator||N|Y
8530|012|DOMINIC ASHE|Futures Trader||Y|Y
8530|005|TOM TEMPRANO|Community College Board Vice-president||Y|Y
8530|006|SHANELL WILLIAMS|President, City College Board||Y|Y
8530|001|ALAN WONG|Education Policy Advisor||N|Y
8530|008|HAN ZOU|Family Education Advisor||N|Y
8530|004|ALIYA CHISTI|Education Policy Advisor||N|Y
8530|009|MARIE HURABIELL|University Regent / Entrepreneur||N|Y
8530|002|ANITA MARTINEZ|Retired Teacher / Administrator||N|Y
8530|010|VICTOR OLIVIERI|College Professor||N|Y
8530|011|JEANETTE QUICK|Attorney / Writer||N|Y
8530|003|GERAMYE TEETER|Sustainability Management Professional||N|Y
