contest_id|contest_abbr
100|Health And Homelessness, Parks, And Streets Bond
101|Department Of Sanitation And Streets, Sanitation And Streets Commission, And Public Works Commission
102|Removing Citizenship Requirements For Members Of City Bodies
103|Sheriff Oversight
104|Police Staffing
105|Business Tax Overhaul
106|Youth Voting In Local Elections
107|Neighborhood Commercial Districts And City Permitting
108|Real Estate Transfer Tax
109|Parcel Tax For San Francisco Unified School District
110|PRESIDENT AND VICE PRESIDENT~      
111|Affordable Housing Authorization
112|Business Tax Based On Comparison Of Top Executive's Pay To Employees Pay
1020|US House of Rep~District 12      
1030|US House of Rep~District 13      
1040|US House of Rep~District 14      
1101|Authorizes Bond Continuing Stem Cell Research. Initiative Statute.
1102|Increases Funding Sources For Public Schools, Community Colleges, And Local Government Services By Changing Tax Assessme
1103|Allows Diversity As A Factor In Public Employment, Education, And Contracting Decisions. Legislative Constitutional Amen
1104|Restores Right To Vote After Completion Of Prison Term. Legislative Constitutional Amendment.
1105|Amends California Constitution To Permit 17-year-olds To Vote In Primary And Special Elections If They Will Turn 18 By T
1106|Changes Certain Property Tax Rules. Legislative Constitutional Amendment.
1107|Restricts Parole For Certain Offenses Currently Considered To Be Non-violent. Authorizes Felony Sentences For Certain Of
1108|Expands Local Governments' Authority To Enact Rent Control. On Residential Property. Initiative Statute.
1109|Exempts App-based Transportation And Delivery Companies From Providing Employee Benefits To Certain Drivers. Initiative
1110|Establishes State Requirements For Kidney Dialysis Clinics. Requires On-site Medical Professional. Initiative Statute.
1111|Amends Consumer Privacy Laws. Initiative Statute.
1112|Referendum On Law That Replaced Money Bail With System Based On Public Safety And Flight Risk.
1113|Caltrain Sales Tax
1130|State Senator~District 11      
1210|STATE ASSEMBLY MEMBER~District 19      
1310|STATE ASSEMBLY MEMBER~District 17      
5101|BOARD OF SUPERVISORS~DISTRICT 1      
5103|BOARD OF SUPERVISORS~DISTRICT 3      
5105|BOARD OF SUPERVISORS~DISTRICT 5      
5107|BOARD OF SUPERVISORS~DISTRICT 7      
5109|BOARD OF SUPERVISORS~DISTRICT 9      
5111|BOARD OF SUPERVISORS~DISTRICT 11      
6000|BART DIRECTOR~DISTRICT 7      
6030|BART DIRECTOR~DISTRICT 9      
6100|BOARD OF EDUCATION~      
8530|COMMUNITY COLLEGE BOARD~      
