contest_seq|contest_id|district_id|headings|ballot_title|contest_abbr|contest_party|vote_for|on_ballot
001|110|0|FEDERAL|PRESIDENT AND VICE PRESIDENT|PRESIDENT AND VICE PRESIDENT||1|Y
002|1020|CONG12|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 12|US House of Rep~District 12||1|Y
003|1030|CONG13|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 13|US House of Rep~District 13||1|Y
004|1040|CONG14|FEDERAL|UNITED STATES REPRESENTATIVE, DISTRICT 14|US House of Rep~District 14||1|Y
005|1130|SEN11|STATE|STATE SENATOR|State Senator~District 11||1|Y
006|1210|ASSM19|STATE|STATE ASSEMBLY MEMBER, DISTRICT 19|STATE ASSEMBLY MEMBER~District 19||1|Y
007|1310|ASSM17|STATE|STATE ASSEMBLY MEMBER, DISTRICT 17|STATE ASSEMBLY MEMBER~District 17||1|Y
008|5101|SUPV1|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 1|BOARD OF SUPERVISORS~DISTRICT 1||1|Y
009|5103|SUPV3|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 3|BOARD OF SUPERVISORS~DISTRICT 3||1|Y
010|5105|SUPV5|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 5|BOARD OF SUPERVISORS~DISTRICT 5||1|Y
011|5107|SUPV7|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 7|BOARD OF SUPERVISORS~DISTRICT 7||1|Y
012|5109|SUPV9|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 9|BOARD OF SUPERVISORS~DISTRICT 9||1|Y
013|5111|SUPV11|CITY AND COUNTY|MEMBER, BOARD OF SUPERVISORS, DISTRICT 11|BOARD OF SUPERVISORS~DISTRICT 11||1|Y
014|6000|BART7|DISTRICT|BART DIRECTOR, DISTRICT 7|BART DIRECTOR~DISTRICT 7||1|Y
015|6030|BART9|DISTRICT|BART DIRECTOR, DISTRICT 9|BART DIRECTOR~DISTRICT 9||1|Y
016|6100|CITY1|SCHOOL|MEMBER, BOARD OF EDUCATION|BOARD OF EDUCATION||4|Y
017|8530|CITY1|SCHOOL|MEMBER, COMMUNITY COLLEGE BOARD|COMMUNITY COLLEGE BOARD||4|Y
