District_Code	County_List	District_Name
ASSM19	San Francisco; San Mateo	California State Assembly District 19
BART	Alameda; Contra Costa; San Francisco	San Francisco Bay Area Rapid Transit District
BART4	Alameda; San Francisco	San Francisco Bay Area Rapid Transit District, District  4
BART7	Contra Costa; San Francisco; Alameda	San Francisco Bay Area Rapid Transit District, District  7
CONG14	San Mateo; San Francisco	California Congressional District 14
EQUAL2	Alameda; Colusa; Contra Costa; Del Norte; Glenn; Humboldt; Lake; Marin; Mendocino; Monterey; Napa; San Benito; San Francisco; San Luis Obispo; San Mateo; Santa Barbara; Santa Clara; Santa Cruz; Solano; Sonoma; Tehama; Trinity; Yolo	California State Board of Equalization District  2
MTC9	Santa Clara; Alameda; Contra Costa; San Francisco; San Mateo; Sonoma; Solano; Marin; Napa	County of Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Sonoma and Solano
SBRA	Alameda; Santa Clara; Contra Costa; San Mateo; San Francisco; Sonoma; Solano; Marin; Napa	San Francisco Bay Restoration Authority
SEN11	San Francisco; San Mateo	California State Senate District 11
APPCT1	Alameda; Contra Costa; Del Norte; Humboldt; Lake; Marin; Mendocino; Napa; San Francisco; San Mateo; Solano; Sonoma	California State Court of Appeal District  1
