sequence	cont_external_id	cand_seq	cand_id	external_id	title	party	designation	cand_type
0300	1	0010	147664	030059	JOSEPH R. BIDEN	Democratic		default
0300	1	0020	147665	030054	DONALD J. TRUMP	Republican		default
0300	1	0030	147666	030055	GLORIA LA RIVA	Peace and Freedom		default
0300	1	0040	147667	030056	ROQUE "ROCKY" DE LA FUENTE GUERRA	American Independent		default
0300	1	0050	147668	030057	HOWIE HAWKINS	Green		default
0300	1	0060	147669	030058	JO JORGENSEN	Libertarian		default
0600	2	0080	147670	0600117	SHAHID BUTTAR	Democratic	Public Interest Lawyer	default
0600	2	0090	147671	0600116	NANCY PELOSI	Democratic	Member of Congress	default
0700	3	0100	147672	0700118	BARBARA LEE	Democratic	United States Representative	default
0700	3	0110	147673	0700119	NIKKA PITERMAN	Republican	Teacher / Software Engineer	default
0800	4	0010	147674	0800121	RAN S. PETEL	Republican	Financial Executive	default
0800	4	0130	147675	0800120	JACKIE SPEIER	Democratic	Congresswoman	default
1000	5	0140	147676	1000115	SCOTT WIENER	Democratic	State Senator, District 11	default
1000	5	0150	147677	1000114	JACKIE FIELDER	Democratic	Educator / Nonprofit Organizer	default
1100	6	0160	147678	1100111	STARCHILD	Libertarian		default
1100	6	0170	147679	1100110	DAVID CHIU	Democratic	Assemblymember	default
1200	7	0180	147680	1200112	JOHN P. MCDONNELL	Republican	Attorney	default
1200	7	0190	147681	1200113	PHIL TING	Democratic	Assemblymember	default
1400	8	0200	147682	140011	KEVINE BOGGESS		Education Policy Director	default
1400	8	0210	147683	140013	MATT ALEXANDER		Educator / Organizer	default
1400	8	0220	147684	14008	ANDREW DOUGLAS ALSTON		Teacher	default
1400	8	0230	147685	140010	JENNY LAM		Member, Board Of Education	default
1400	8	0240	147686	14009	GENEVIEVE LAWRENCE		Teacher	default
1400	8	0250	147687	140014	MICHELLE PARKER		Parent / Nonprofit Director	default
1400	8	0260	147688	140012	MARK SANCHEZ		Public School Teacher	default
1400	8	0270	147689	14007	ALIDA FISHER		Special Education Consultant	default
1400	8	0280	147690	140016	PAUL KANGAS		Criminal Defense Investigator	default
1400	8	0290	147691	140015	NICK ROTHMAN		Teacher	default
1500	9	0310	147692	150046	DOMINIC ASHE		Futures Trader	default
1500	9	0320	147693	150048	HAN ZOU		Family Education Advisor	default
1500	9	0330	147694	150047	GERAMYE TEETER		Sustainability Management Professional	default
1500	9	0340	147695	150052	TOM TEMPRANO		Community College Board Vice-president	default
1500	9	0350	147696	150050	MARIE HURABIELL		University Regent / Entrepreneur	default
1500	9	0360	147697	150053	VICTOR OLIVIERI		College Professor	default
1500	9	0370	147698	150045	ANITA MARTINEZ		Retired Teacher / Administrator	default
1500	9	0380	147699	150049	JEANETTE QUICK		Attorney / Writer	default
1500	9	0390	147700	150044	ALIYA CHISTI		Education Policy Advisor	default
1500	9	0400	147701	150043	ALAN WONG		Education Policy Advisor	default
1500	9	0410	147702	150051	SHANELL WILLIAMS		President, City College Board	default
1700	10	0430	147703	17001	LATEEFAH  SIMON		BART Director	default
