contest_id2	cand_id2	contest_id1	cand_id1	cand_seq	cand_name2	cand_name1
1	030054	110	002		DONALD J. TRUMP	DONALD J. TRUMP
1	030055	110	006		GLORIA LA RIVA	GLORIA LA RIVA
1	030056	110	003		ROQUE "ROCKY" DE LA FUENTE GUERRA	ROQUE "ROCKY" DE LA FUENTE GUERRA
1	030057	110	004		HOWIE HAWKINS	HOWIE HAWKINS
1	030058	110	005		JO JORGENSEN	JO JORGENSEN
1	030059	110	001		JOSEPH R. BIDEN	JOSEPH R. BIDEN
10	17001	6000	001		LATEEFAH  SIMON	LATEEFAH SIMON
10	17002	6000	002		SHARON KIDD	SHARON KIDD
11	18003	6030	001		BEVAN DUFTY	BEVAN DUFTY
11	18004	6030	003		DAVID WEI WEN YOUNG	DAVID WEI WEN YOUNG
11	18005	6030	002		MICHAEL PETRELIS	MICHAEL PETRELIS
11	18006	6030	004		PATRICK  MORTIERE	PATRICK MORTIERE
12	550017	5101	003		AMANDA INOCENCIO	AMANDA INOCENCIO
12	550018	5101	007		ANDREW N. MAJALYA	ANDREW N. MAJALYA
12	550019	5101	001		CONNIE CHAN	CONNIE CHAN
12	550020	5101	006		DAVID E. LEE	DAVID E. LEE
12	550021	5101	005		MARJAN PHILHOUR	MARJAN PHILHOUR
12	550022	5101	002		SHERMAN R. D'SILVA	SHERMAN R. D'SILVA
12	550023	5101	004		VERONICA SHINZATO	VERONICA SHINZATO
13	560027	5103	003		AARON PESKIN	AARON PESKIN
13	560028	5103	004		DANNY SAUTER	DANNY SAUTER
13	560029	5103	005		SPENCER SIMONSEN	SPENCER SIMONSEN
13	560030	5103	006		STEPHEN (LULU) SCHWARTZ	STEPHEN (LULU) SCHWARTZ
14	570031	5105	002		DANIEL LANDRY	DANIEL LANDRY
14	570032	5105	003		DEAN PRESTON	DEAN PRESTON
14	570033	5105	004		NOMVULA O'MEARA	NOMVULA O'MEARA
14	570034	5105	005		VALLIE BROWN	VALLIE BROWN
15	580035	5107	004		BEN MATRANGA	BEN MATRANGA
15	580036	5107	008		EMILY MURASE	EMILY MURASE
15	580037	5107	001		JOEL ENGARDIO	JOEL ENGARDIO
15	580038	5107	010		KEN PIPER	KEN PIPER
15	580039	5107	005		MYRNA MELGAR	MYRNA MELGAR
15	580040	5107	003		STEPHEN W. MARTIN-PINTO	STEPHEN W. MARTIN-PINTO
15	580041	5107	006		VILASKA NGUYEN	VILASKA NGUYEN
16	590042	5109	002		HILLARY RONEN	HILLARY RONEN
17	600024	5111	002		AHSHA SAFAI	AHSHA SAFAI
17	600025	5111	001		JOHN AVALOS	JOHN AVALOS
17	600026	5111	003		MARCELO COLUSSI	MARCELO COLUSSI
2	0600116	1020	001		NANCY PELOSI	NANCY PELOSI
2	0600117	1020	002		SHAHID BUTTAR	SHAHID BUTTAR
3	0700118	1030	001		BARBARA LEE	BARBARA LEE
3	0700119	1030	002		NIKKA PITERMAN	NIKKA PITERMAN
4	0800120	1040	001		JACKIE SPEIER	JACKIE SPEIER
4	0800121	1040	002		RAN S. PETEL	RAN S PETEL
5	1000114	1130	002		JACKIE FIELDER	JACKIE FIELDER
5	1000115	1130	001		SCOTT WIENER	SCOTT WIENER
6	1100110	1310	001		DAVID CHIU	DAVID CHIU
6	1100111	1310	002		STARCHILD	STARCHILD
7	1200112	1210	002		JOHN P. MCDONNELL	JOHN P. MCDONNELL
7	1200113	1210	001		PHIL TING	PHIL TING
8	140010	6100	004		JENNY LAM	JENNY LAM
8	140011	6100	010		KEVINE BOGGESS	KEVINE BOGGESS
8	140012	6100	009		MARK SANCHEZ	MARK SANCHEZ
8	140013	6100	007		MATT ALEXANDER	MATT ALEXANDER
8	140014	6100	006		MICHELLE PARKER	MICHELLE PARKER
8	140015	6100	013		NICK ROTHMAN	NICK ROTHMAN
8	140016	6100	002		PAUL KANGAS	PAUL KANGAS
8	14007	6100	001		ALIDA FISHER	ALIDA FISHER
8	14008	6100	011		ANDREW DOUGLAS ALSTON	ANDREW DOUGLAS ALSTON
8	14009	6100	012		GENEVIEVE LAWRENCE	GENEVIEVE LAWRENCE
9	150043	8530	001		ALAN WONG	ALAN WONG
9	150044	8530	004		ALIYA CHISTI	ALIYA CHISTI
9	150045	8530	002		ANITA MARTINEZ	ANITA MARTINEZ
9	150046	8530	012		DOMINIC ASHE	DOMINIC ASHE
9	150047	8530	003		GERAMYE TEETER	GERAMYE TEETER
9	150048	8530	008		HAN ZOU	HAN ZOU
9	150049	8530	011		JEANETTE QUICK	JEANETTE QUICK
9	150050	8530	009		MARIE HURABIELL	MARIE HURABIELL
9	150051	8530	006		SHANELL WILLIAMS	SHANELL WILLIAMS
9	150052	8530	005		TOM TEMPRANO	TOM TEMPRANO
9	150053	8530	010		VICTOR OLIVIERI	VICTOR OLIVIERI
