contest_id2	contest_id1	contest_name2	contest_name1
1	110	PRESIDENT AND VICE PRESIDENT	PRESIDENT AND VICE PRESIDENT
10	6000	BART DIRECTOR,  DISTRICT 7	BART DIRECTOR~DISTRICT 7
11	6030	BART DIRECTOR,  DISTRICT 9	BART DIRECTOR~DISTRICT 9
12	5101	MEMBER, BOARD OF SUPERVISORS, DISTRICT 1	BOARD OF SUPERVISORS~DISTRICT 1
13	5103	MEMBER, BOARD OF SUPERVISORS, DISTRICT 3	BOARD OF SUPERVISORS~DISTRICT 3
14	5105	MEMBER, BOARD OF SUPERVISORS, DISTRICT 5	BOARD OF SUPERVISORS~DISTRICT 5
15	5107	MEMBER, BOARD OF SUPERVISORS, DISTRICT 7	BOARD OF SUPERVISORS~DISTRICT 7
16	5109	MEMBER, BOARD OF SUPERVISORS, DISTRICT 9	BOARD OF SUPERVISORS~DISTRICT 9
17	5111	MEMBER, BOARD OF SUPERVISORS, DISTRICT 11	BOARD OF SUPERVISORS~DISTRICT 11
18	1101	Proposition:14	Proposition:14
19	1102	Proposition:15	Proposition:15
2	1020	UNITED STATES  REPRESENTATIVE,  DISTRICT 12	US House of Rep~District 12
20	1103	Proposition:16	Proposition:16
21	1104	Proposition:17	Proposition:17
22	1105	Proposition:18	Proposition:18
23	1106	Proposition:19	Proposition:19
24	1107	Proposition:20	Proposition:20
25	1108	Proposition:21	Proposition:21
26	1109	Proposition:22	Proposition:22
27	1110	Proposition:23	Proposition:23
28	1111	Proposition:24	Proposition:24
29	1112	Proposition:25	Proposition:25
3	1030	UNITED STATES REPRESENTATIVE,  DISTRICT 13	US House of Rep~District 13
30	100	Measure:A	Measure:A
31	101	Measure:B	Measure:B
32	102	Measure:C	Measure:C
33	103	Measure:D	Measure:D
34	104	Measure:E	Measure:E
35	105	Measure:F	Measure:F
36	106	Measure:G	Measure:G
37	107	Measure:H	Measure:H
38	108	Measure:I	Measure:I
39	109	Measure:J	Measure:J
4	1040	UNITED STATES  REPRESENTATIVE,  DISTRICT 14	US House of Rep~District 14
40	111	Measure:K	Measure:K
41	112	Measure:L	Measure:L
42	1113	Measure:RR	Measure:RR
5	1130	STATE  SENATOR,  DISTRICT 11	State Senator~District 11
6	1310	STATE  ASSEMBLY  MEMBER,  DISTRICT 17	STATE ASSEMBLY MEMBER~District 17
7	1210	STATE  ASSEMBLY  MEMBER,  DISTRICT 19	STATE ASSEMBLY MEMBER~District 19
8	6100	MEMBER, BOARD OF EDUCATION	BOARD OF EDUCATION
9	8530	MEMBER, COMMUNITY COLLEGE BOARD	COMMUNITY COLLEGE BOARD
