contest_id2	contest_id1	district_id
1	110	0
10	6000	BART7
11	6030	BART9
12	5101	SUPV1
13	5103	SUPV3
14	5105	SUPV5
15	5107	SUPV7
16	5109	SUPV9
17	5111	SUPV11
18	1101	0
19	1102	0
2	1020	CONG12
20	1103	0
21	1104	0
22	1105	0
23	1106	0
24	1107	0
25	1108	0
26	1109	0
27	1110	0
28	1111	0
29	1112	0
3	1030	CONG13
30	100	0
31	101	0
32	102	0
33	103	0
34	104	0
35	105	0
36	106	0
37	107	0
38	108	0
39	109	0
4	1040	CONG14
40	111	0
41	112	0
42	1113	0
5	1130	SEN11
6	1310	ASSM17
7	1210	ASSM19
8	6100	CITY1
9	8530	CITY1
