area_id	voting_group_ids
ALL	TO ED MV
PCT1141	MV ED TO
PCT1142	MV ED TO
PCT1143	MV ED TO
PCT1144	MV ED TO
PCT1145	MV ED TO
PCT1146	MV ED TO
PCT1147	MV ED TO
PCT1148	MV ED TO
PCT1149	MV ED TO
PCT1151	MV ED TO
PCT1152	MV ED TO
PCT1153	MV ED TO
PCT1154	MV ED TO
PCT7001	MV ED TO
PCT7002	MV ED TO
PCT7003	MV ED TO
PCT7004	MV ED TO
PCT7005	MV ED TO
PCT7006	MV ED TO
PCT7007	MV ED TO
PCT7008	MV ED TO
PCT7009	MV ED TO
PCT7011	MV ED TO
PCT7012	MV ED TO
PCT7013	MV ED TO
PCT7014	MV ED TO
PCT7015	MV ED TO
PCT7016	MV ED TO
PCT7017	MV ED TO
PCT7018	MV ED TO
PCT7019	MV ED TO
PCT7021	MV ED TO
PCT7022	MV ED TO
PCT7023	MV ED TO
PCT7024	MV ED TO
PCT7025	MV ED TO
PCT7026	MV ED TO
PCT7027	MV ED TO
PCT7028	MV ED TO
PCT7029	MV ED TO
PCT7030	MV ED TO
PCT7031	MV ED TO
PCT7032	MV ED TO
PCT7033	MV ED TO
PCT7034	MV ED TO
PCT7035	MV ED TO
PCT7036	MV ED TO
PCT7037	MV ED TO
PCT7038	MV ED TO
PCT7039	MV ED TO
PCT7041	MV ED TO
PCT7042	MV ED TO
PCT7043	MV ED TO
PCT7044	MV ED TO
PCT7045	MV ED TO
PCT7046	MV ED TO
PCT7047	MV ED TO
PCT7048	MV ED TO
PCT7049	MV ED TO
PCT7051	MV ED TO
PCT7052	MV ED TO
PCT7053	MV ED TO
PCT7054	MV ED TO
PCT7055	MV ED TO
PCT7056	MV ED TO
PCT7101	MV ED TO
PCT7201	MV ED TO
PCT7202	MV ED TO
PCT7203	MV ED TO
PCT7204	MV ED TO
PCT7205	MV ED TO
PCT7206	MV ED TO
PCT7207	MV ED TO
PCT7208	MV ED TO
PCT7209	MV ED TO
PCT7301	MV ED TO
PCT7302	MV ED TO
PCT7303	MV ED TO
PCT7304	MV ED TO
PCT7305	MV ED TO
PCT7306	MV ED TO
PCT7307	MV ED TO
PCT7308	MV ED TO
PCT7309	MV ED TO
PCT7311	MV ED TO
PCT7312	MV ED TO
PCT7313	MV ED TO
PCT7314	MV ED TO
PCT7315	MV ED TO
PCT7316	MV ED TO
PCT7317	MV ED TO
PCT7318	MV ED TO
PCT7319	MV ED TO
PCT7321	MV ED TO
PCT7322	MV ED TO
PCT7323	MV ED TO
PCT7324	MV ED TO
PCT7325	MV ED TO
PCT7326	MV ED TO
PCT7327	MV ED TO
PCT7328	MV ED TO
PCT7329	MV ED TO
PCT7331	MV ED TO
PCT7332	MV ED TO
PCT7333	MV ED TO
PCT7334	MV ED TO
PCT7335	MV ED TO
PCT7336	MV ED TO
PCT7337	MV ED TO
PCT7338	MV ED TO
PCT7339	MV ED TO
PCT7341	MV ED TO
PCT7342	MV ED TO
PCT7343	MV ED TO
PCT7344	MV ED TO
PCT7345	MV ED TO
PCT7346	MV ED TO
PCT7347	MV ED TO
PCT7348	MV ED TO
PCT7349	MV ED TO
PCT7501	MV ED TO
PCT7502	MV ED TO
PCT7503	MV ED TO
PCT7504	MV ED TO
PCT7505	MV ED TO
PCT7506	MV ED TO
PCT7507	MV ED TO
PCT7508	MV ED TO
PCT7509	MV ED TO
PCT7512	MV ED TO
PCT7513	MV ED TO
PCT7514	MV ED TO
PCT7515	MV ED TO
PCT7516	MV ED TO
PCT7517	MV ED TO
PCT7518	MV ED TO
PCT7519	MV ED TO
PCT7521	MV ED TO
PCT7522	MV ED TO
